Group,Var,FE,Coef,t,p,Sig,N
国企,DU_kw,Firm+Year,-0.005429115745669931,-2.295552641016038,0.02198766440243549,**,13162
民企,DU_kw,Firm+Year,-0.0028575145051232343,-2.367411693457171,0.01816792058582939,**,25378
大企业,DU_kw,Firm+Year,-0.003308607859881741,-1.488410105887996,0.13707109835117293,,18885
小企业,DU_kw,Firm+Year,-0.004789678283066386,-4.589933840239236,5.212617242733586e-06,***,18895
高分析师,DU_kw,Firm+Year,-0.004609758796821996,-4.085096285464829,4.878910067129816e-05,***,19368
低分析师,DU_kw,Firm+Year,-0.0024280527695064585,-1.2749894838589761,0.20272366489149962,,18728
高科技,DU_kw,Firm+Year,-0.003976222369587509,-2.9584537550574157,0.00458132745177986,***,8074
传统,DU_kw,Firm+Year,-0.0038246504128076524,-2.062770735835685,0.039476795924643815,**,30278
