Threshold,ThresholdValue,TreatN,Coef,t,p,N
P33,0.340543208632093,2467,0.023106503355837915,3.614949241163186,0.0004056503666505229,16005
P50,0.5309672640176146,1842,0.019596367629618586,4.681361635643774,6.176522624024017e-06,16005
P67,0.8771293415670249,1216,0.020185727218355584,5.876217719277873,2.4822584432371286e-08,16005
