Test,FE,Var,Coef,t,p,N
Alt_DV_SYNCH,Firm+Year,DU_kw,0.010973596218087758,1.653153408083371,0.0987115461721002,29444
Alt_DV_SYNCH_ln,Firm+Year,DU_kw_ln,0.015207280394999292,2.4479421323992443,0.014592035565493156,29444
Alt_DV_SYNCH,Ind+Year,DU_kw,0.011060114152235808,2.3170138504462683,0.020767213033861198,29924
PSM,Firm+Year,DU_kw,-0.0047807650707705806,-3.6972893131305904,0.00023284264662537524,31381
Placebo_2020,Firm+Year,TreatPost,-0.01251544058617674,-1.4632171904450022,0.1444618866685261,11708
Placebo_2021,Firm+Year,TreatPost,-0.01022272029618399,-1.2933651116774636,0.19687322213327252,12525
Placebo_2022,Firm+Year,TreatPost,0.009501907736027567,2.0020120438782545,0.04616865970136019,13325
DID_Real_2024,Firm+Year,TreatPost,0.007502078241244963,1.3776020230171075,0.17031203797145245,16005
Alt_IV_ln,Firm+Year,DU_kw_ln,-0.0032147162551978237,-3.1319793078918132,0.0017988912456965434,38614
Excl_2024,Firm+Year,DU_kw,-0.005032328045616051,-5.228334075652567,2.1805002337060841e-07,33878
MainBoard,Firm+Year,DU_kw,-0.0038865716801973916,-2.4040574518061413,0.01643982704020308,29666
