Model,FE,Var,Coef,SE,t,p,Sig,N,R2
(1),Firm+Year,DU_kw,-0.005323421162717829,0.0010295565703478914,-5.170596076055367,2.8862585721434186e-07,***,43847,0.4086328240566318
(2),Firm+Year,DU_kw,-0.004156834533124847,0.0009709279065633646,-4.281300913306857,2.061004318676396e-05,***,43847,0.42496054957466145
(3),Firm+Year,DU_kw_ln,-0.004088065114019305,0.001177939653388516,-3.470521687812603,0.0005445570144224643,***,43847,0.4246078021465396
(4),Firm+Year,DU_sub_ln,-0.0034823287785045497,0.0007398165251197475,-4.707016753837577,2.9162630714729687e-06,***,43847,0.4246092072208746
(5),Ind+Year,DU_kw,-0.001778536077756616,0.0006080673277113865,-2.92489991930759,0.003533952785014449,***,34558,0.33176827872606607
(6),Ind+Year,DU_kw_ln,-0.001798704750546201,0.0006670339649800537,-2.6965714565973977,0.007139291430825034,***,34558,0.33161071178791013
