model,regressor,coef,se,tstat,pval,N,r2
joint_dukw_DUchain_count,DU_kw_lag,-0.0037384696770459,0.0010358920553699,-3.608937740325928,0.000323299842421,37294,0.4178948998451233
joint_dukw_DUchain_count,DUchain_count_lag,-0.0005928814643994,0.0008913663332351,-0.6651378273963928,0.5061217546463013,37294,0.4178948998451233
joint_dukw_DUclosedloop,DU_kw_lag,-0.0035266117192805,0.000985031016171,-3.580203533172607,0.0003604901430663,37294,0.4179324507713318
joint_dukw_DUclosedloop,DUclosedloop_lag,-0.0042582605965436,0.0028226594440639,-1.508598685264587,0.1317296922206879,37294,0.4179324507713318
joint_dukw_DUcore,DU_kw_lag,-0.0036381913814694,0.0011540648993105,-3.152501583099365,0.0016688994364813,37294,0.4178892374038696
joint_dukw_DUcore,DUcore_lag,-0.0013037243625149,0.0028244187124074,-0.4615902900695801,0.644479513168335,37294,0.4178892374038696
joint_dukw_DUkw_mda,DU_kw_lag,-0.0046265837736428,0.0018257141346112,-2.534122705459595,0.0114305978640914,37294,0.4178950786590576
joint_dukw_DUkw_mda,DUkw_mda_lag,0.0001662874274189,0.000345099659171,0.4818533360958099,0.6300197243690491,37294,0.4178950786590576
joint_dukw_lenstd,DU_kw_lag,-0.0015513823908641,0.0012285413502373,-1.262784024782268,0.2069728063255133,37294,0.4181641983138689
joint_dukw_lenstd,DU_llm_lenstd_lag,-0.0145729611733609,0.0038789865594625,-3.756899115262785,0.0001823756140484,37294,0.4181641983138689
