variable,N,mean,std,p25,p50,p75,min,max
Quality_sub,43735,0.6331897148184662,0.3676567765064503,0.42857142857142855,0.7619047619047619,0.9454545454545454,0.0,1.0
Quality_mda,43735,0.5089589287907104,0.3237668989315488,0.24999993750001562,0.5454544958677732,0.7777776913580343,0.0,0.9999998888889013
Quality_subden,43735,0.6330893444767027,1.1799620804413045,0.050355129666139385,0.20972054736952908,0.6490177123739985,0.0,7.294983997164834
BroadShallow_cont,43735,0.2650181644682949,0.38684368635926014,0.0,0.13511833663922862,0.33183685030674426,0.0,2.255905825977663
WashGap,43735,4.402551822578004,4.6175595460845695,1.7,2.9166666666666665,5.0,0.0,27.0
BroadShallow,43735,0.018314850805990626,0.13408888154652152,0.0,0.0,0.0,0.0,1.0
