rel_month,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
-24,0.007638672428262669,0.008033014866031793,-0.008106036709159643,0.02338338156568498,0.95090978364342,0.341697180085633,223473,binary_fm
-23,0.017688208299721907,0.007950952928627585,0.002104340559611841,0.033272076039831976,2.224665201580444,0.02614919877819033,223473,binary_fm
-22,0.018539320696071226,0.00722787628599094,0.004372683175528984,0.03270595821661347,2.564974822826466,0.010347907922008126,223473,binary_fm
-21,0.02142064537371037,0.006752875540016761,0.00818500931527752,0.03465628143214322,3.172077620381732,0.0015228936616527022,223473,binary_fm
-20,0.024471593334862995,0.006636287933986095,0.011464468984250248,0.03747871768547574,3.687542430089241,0.0002288878441356612,223473,binary_fm
-19,0.02649264945983808,0.006540752066585292,0.013672775409330908,0.039312523510345254,4.050398056697631,5.192269677345429e-05,223473,binary_fm
-18,0.027300939707702955,0.0065680862036702325,0.014427490748509299,0.04017438866689661,4.15660496240857,3.2853601884319517e-05,223473,binary_fm
-17,0.027775964553982287,0.006570483865620237,0.014897816177366623,0.04065411293059795,4.227384941818179,2.4073650566114324e-05,223473,binary_fm
-16,0.03492784824203469,0.006603955348622369,0.021984095758734848,0.04787160072533453,5.288928588731431,1.2839882090887045e-07,223473,binary_fm
-15,0.05434637241263968,0.006489446934652445,0.04162705642072089,0.06706568840455848,8.374576903070139,0.0,223473,binary_fm
-14,0.05558411674115606,0.006883063903818635,0.042093311489671534,0.06907492199264059,8.07549043825072,8.881784197001252e-16,223473,binary_fm
-13,0.053279456803074006,0.00715724322276186,0.03925126008646076,0.06730765351968725,7.444131091372127,1.1479706074624119e-13,223473,binary_fm
-12,0.025021773196889228,0.00753774482387792,0.010247793342088505,0.03979575305168995,3.3195304141400155,0.0009082931690580498,223473,binary_fm
-11,0.020718732785178103,0.007593723143085918,0.005835035424729703,0.0356024301456265,2.7284024443322643,0.006386941993162143,223473,binary_fm
-10,0.01649968717697388,0.007715678085279408,0.0013769581298262393,0.03162241622412152,2.1384623612606792,0.03252865657624837,223473,binary_fm
