Year,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
2015,0.026977995202253427,0.004466592086081268,0.01822347471353414,0.035732515690972716,6.039950522081898,2.7121593859646964e-09,32422,binary_b2023
2016,0.028886148615982588,0.0045401564163784205,0.019987442039880884,0.03778485519208429,6.3623685985304474,3.9573366805711885e-10,32422,binary_b2023
2017,0.018118248329919474,0.006493387281912166,0.0053912092573716285,0.03084528740246732,2.7902614680614013,0.0054348025752968265,32422,binary_b2023
2018,0.011507138759483228,0.005329370269196037,0.001061573031858996,0.021952704487107462,2.1591929586868694,0.031232829815002194,32422,binary_b2023
2019,0.006858651127323917,0.005974170904057586,-0.00485072384462895,0.018568026099276783,1.1480507065282655,0.2514074486378701,32422,binary_b2023
2020,0.0055863850932625905,0.008314262081857388,-0.010709568587177889,0.02188233877370307,0.6719038969739337,0.5019048056825439,32422,binary_b2023
2021,-0.0070728302844496275,0.007913648738865136,-0.022583581812625292,0.008437921243726039,-0.8937508496825085,0.37181535929475884,32422,binary_b2023
2022,0.01105757356919783,0.0048842172634578,0.0014845077328205433,0.020630639405575118,2.263939741568658,0.023935816383951813,32422,binary_b2023
2023,0.0,0.0,0.0,0.0,,,32422,binary_b2023
2024,0.02597409550587499,0.0009346869422312701,0.0241421090991017,0.02780608191264828,27.789085663131267,0.0,32422,binary_b2023
2015,0.01592042163305553,0.005142956288601644,0.005840227307396306,0.02600061595871475,3.095577862160724,0.002056330972072029,32422,binary_b2022
2016,0.017828575046784822,0.005350894836617082,0.007340821167015342,0.0283163289265543,3.331886645347775,0.0009158909208362154,32422,binary_b2022
2017,0.007060674760721655,0.007054916341566027,-0.006766961268747757,0.020888310790191066,1.0008162278440782,0.31732113436600695,32422,binary_b2022
2018,0.00044956519028539375,0.0056106277771488635,-0.010547265252926378,0.011446395633497166,0.08012743103657609,0.9361627583236325,32422,binary_b2022
2019,-0.004198922441873851,0.006107084874443783,-0.016168808795783664,0.007770963912035963,-0.6875493837403525,0.4920036123314717,32422,binary_b2022
2020,-0.005471188475935192,0.008229769042896443,-0.02160153580001222,0.010659158848141836,-0.6648046193541324,0.5064321820108644,32422,binary_b2022
2021,-0.01813040385364743,0.007794637800071551,-0.03340789394178767,-0.002852913765507191,-2.32600979271686,0.0203519848354885,32422,binary_b2022
2022,0.0,0.0,0.0,0.0,,,32422,binary_b2022
2023,-0.0110575735691975,0.004884217401539047,-0.020630639676214032,-0.0014845074621809666,-2.2639396775649643,0.023935820345690972,32422,binary_b2022
2024,0.014916521936677123,0.005168701889752532,0.004785866232762162,0.025047177640592083,2.885931952518024,0.004043611151471671,32422,binary_b2022
2015,0.014582844471879769,0.0019093735121597359,0.010840472388046687,0.018325216555712853,7.63750223778101,8.837375276016246e-14,32422,cont_b2023
2016,0.01280230011096826,0.0025101911759806378,0.00788232540604621,0.01772227481589031,5.1001295174129035,4.565073894458038e-07,32422,cont_b2023
2017,0.007997274080200546,0.0020333825970262113,0.004011844190029173,0.011982703970371919,3.9329903245441504,9.374614057500175e-05,32422,cont_b2023
2018,0.007829619611786015,0.0017217789873782122,0.0044549327965247194,0.011204306427047311,4.547401071323525,6.5793203820607715e-06,32422,cont_b2023
2019,0.002402406534618547,0.002338240344938422,-0.00218054454146076,0.0069853576106978545,1.0274420847365093,0.3046284413679443,32422,cont_b2023
2020,0.0009545178238097071,0.003306378922097041,-0.005525984863500493,0.007435020511119907,0.2886897861072477,0.7729189888972909,32422,cont_b2023
2021,0.0008855751386863133,0.003190200387764221,-0.00536721762133156,0.007138367898704187,0.2775923236931672,0.7814214252888614,32422,cont_b2023
2022,0.006973221456687914,0.0016963052957302209,0.003648463077056681,0.010297979836319146,4.110829267726893,4.494450256609106e-05,32422,cont_b2023
2023,0.0,0.0,0.0,0.0,,,32422,cont_b2023
2024,0.01265278263721369,0.0003413943130888365,0.01198364978355957,0.013321915490867808,37.06207793192274,0.0,32422,cont_b2023
2015,0.007609623015191757,0.0021897127197628504,0.0033177860844565707,0.011901459945926944,3.475169572023079,0.0005475654522966167,32422,cont_b2022
2016,0.005829078654280275,0.002703277106833526,0.0005306555248865636,0.011127501783673985,2.156300824486375,0.03145887878474651,32422,cont_b2022
2017,0.001024052623512557,0.002237958480066291,-0.0033623459974173736,0.005410451244442487,0.45758338800022036,0.6474182612946362,32422,cont_b2022
2018,0.0008563981550980647,0.0018513568143803513,-0.002772261201087424,0.0044850575112835534,0.4625786603889758,0.6438349574228506,32422,cont_b2022
2019,-0.004570814922069434,0.0023089772403105417,-0.009096410313078096,-4.52195310607726e-05,-1.979584225548577,0.04820914474087168,32422,cont_b2022
2020,-0.006018703632878221,0.0032444095771393447,-0.012377746404071337,0.0003403391383148945,-1.8550998231810862,0.06407472964550354,32422,cont_b2022
2021,-0.006087646318001679,0.0031444989757359325,-0.012250864310444106,7.557167444074801e-05,-1.9359670220839993,0.053343466916834226,32422,cont_b2022
2022,0.0,0.0,0.0,0.0,,,32422,cont_b2022
2023,-0.006973221456688087,0.0016963054208677234,-0.010297980081588824,-0.0036484628317873485,-4.1108289644685705,4.494455996884028e-05,32422,cont_b2022
2024,0.005679561180525737,0.0018160997467134483,0.0021200056769673787,0.009239116684084095,3.127339889124428,0.0018498166607070488,32422,cont_b2022
2015,0.01770272448926282,0.006656681716702201,0.0046556283245265066,0.030749820653999137,2.6593917574345074,0.008050671183001956,32389,binary_b2023_indyear
