方法,系数,标准误,t值,p值,显著性,N,KP_F,AR_F,AR_p,DWH_F,DWH_p
OLS基准,-0.004156834533124847,0.0009709279065633646,-4.281300913306857,2.061004318676396e-05,***,44071,,,,,
同行业均值IV,-0.014612765269276849,0.004635428276076144,-3.152408881978527,0.001677689630112722,***,34504,419.406981979994,10.314362882707192,0.001371014283975791,7.237714275180532,0.007282748855553134
Bartik IV,-0.01397189148283394,0.004296502479228117,-3.2519221274472634,0.0011938690456350098,***,33997,781.0282598738949,10.489892577857212,0.001249381949850914,7.496921726290615,0.006316584778592649
OLS(DU_t-1),-0.0036860042929408804,0.0014324856299713397,-2.5731527184776213,0.010254985783684,**,38893,,,,,
IV(DU_t-1),-0.016755468011779087,0.004649961477491265,-3.603356305828786,0.00033481844647464953,***,29856,353.88157326206533,,,,
