="Asset allocation MV three-step diagnostics"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="FinRatio_realEstate",="PriceDelay",="PriceDelay",="PriceDelay",="FinRatio_realEstate",="PriceDelay",="PriceDelay",="PriceDelay"
="DU_kw_lag",="0.0000601",="",="-0.00388***",="-0.00387***",="",="",="",=""
="",="(0.000142)",="",="(0.000997)",="(0.00100)",="",="",="",=""
="Size",="-0.00639***",="0.00351",="0.00432",="0.00426",="-0.00635***",="0.00351",="0.00435",="0.00430"
="",="(0.000483)",="(0.00270)",="(0.00268)",="(0.00267)",="(0.000483)",="(0.00270)",="(0.00270)",="(0.00268)"
="Lev",="-0.00811***",="0.0217***",="0.0223***",="0.0222***",="-0.00808***",="0.0217***",="0.0223***",="0.0222***"
="",="(0.00217)",="(0.00680)",="(0.00677)",="(0.00678)",="(0.00216)",="(0.00680)",="(0.00676)",="(0.00677)"
="ROA",="-0.00741**",="-0.0671***",="-0.0683***",="-0.0694***",="-0.00750**",="-0.0671***",="-0.0672***",="-0.0684***"
="",="(0.00311)",="(0.0159)",="(0.0158)",="(0.0158)",="(0.00312)",="(0.0159)",="(0.0157)",="(0.0158)"
="TobinQ",="0.00206***",="0.0130***",="0.0127***",="0.0127***",="0.00204***",="0.0130***",="0.0127***",="0.0127***"
="",="(0.000226)",="(0.00117)",="(0.00117)",="(0.00117)",="(0.000225)",="(0.00117)",="(0.00116)",="(0.00116)"
="Age",="0.00457***",="-0.0200***",="-0.0185***",="-0.0185***",="0.00462***",="-0.0200***",="-0.0196***",="-0.0196***"
="",="(0.00104)",="(0.00570)",="(0.00558)",="(0.00559)",="(0.00104)",="(0.00570)",="(0.00564)",="(0.00566)"
="Growth",="0.000296",="0.0145***",="0.0142***",="0.0141***",="0.000278",="0.0145***",="0.0143***",="0.0142***"
="",="(0.000418)",="(0.00215)",="(0.00214)",="(0.00214)",="(0.000418)",="(0.00215)",="(0.00214)",="(0.00215)"
="IndepRatio",="-0.00818**",="-0.0196",="-0.0205",="-0.0206",="-0.00825**",="-0.0196",="-0.0207",="-0.0207"
="",="(0.00341)",="(0.0160)",="(0.0159)",="(0.0159)",="(0.00341)",="(0.0160)",="(0.0159)",="(0.0159)"
="Dual",="-0.000319",="-0.0000378",="0.0000664",="0.0000602",="-0.000311",="-0.0000378",="0.000103",="0.0000965"
="",="(0.000402)",="(0.00170)",="(0.00170)",="(0.00170)",="(0.000401)",="(0.00170)",="(0.00170)",="(0.00170)"
="Top1Share",="0.0000236",="0.000340***",="0.000324***",="0.000324***",="0.0000232",="0.000340***",="0.000337***",="0.000337***"
="",="(0.0000298)",="(0.000112)",="(0.000111)",="(0.000111)",="(0.0000298)",="(0.000112)",="(0.000112)",="(0.000112)"
="SOE",="0.000195",="0.000614",="0.000426",="0.000431",="0.000184",="0.000614",="0.000435",="0.000440"
="",="(0.000780)",="(0.00408)",="(0.00409)",="(0.00409)",="(0.000780)",="(0.00408)",="(0.00407)",="(0.00407)"
="CFO",="-0.00261",="0.0157",="0.0148",="0.0152",="-0.00264",="0.0157",="0.0148",="0.0152"
="",="(0.00237)",="(0.0122)",="(0.0122)",="(0.0122)",="(0.00237)",="(0.0122)",="(0.0122)",="(0.0122)"
="FinRatio_realEstate_lag",="",="0.0894***",="",="0.0893***",="",="0.0894***",="",="0.0881***"
="",="",="(0.0326)",="",="(0.0326)",="",="(0.0326)",="",="(0.0326)"
="FinRatio_realEstate",="",="",="0.0884***",="",="",="",="0.0868***",=""
="",="",="",="(0.0311)",="",="",="",="(0.0310)",=""
="DU_llm_lag",="",="",="",="",="-0.000203",="",="-0.00451***",="-0.00451***"
="",="",="",="",="",="(0.000183)",="",="(0.000853)",="(0.000853)"
="_cons",="0.149***",="0.0337",="0.0173",="0.0189",="0.149***",="0.0337",="0.0199",="0.0215"
="",="(0.0112)",="(0.0633)",="(0.0628)",="(0.0625)",="(0.0112)",="(0.0633)",="(0.0633)",="(0.0629)"
="N",="37294",="37294",="37294",="37294",="37294",="37294",="37294",="37294"
="R-sq",="0.773",="0.417",="0.418",="0.418",="0.773",="0.417",="0.418",="0.418"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
