y_name,nonmissing_reg_sample,mean,sd,min,p01,median,p99,max
CS_Spread,43735,0.00889547953865412,0.002328174862210955,0.004462143591506931,0.0044624453226141305,0.008624939046065072,0.015678862551935107,0.015680535430316823
HL_Range_year,43735,0.03931159884036213,0.010996389488971366,0.01823844563405947,0.018239077015461264,0.0380105830057979,0.07086154681420512,0.0708678047169748
PEAD20_signed,28536,-0.002356908680263525,0.1056139064508388,-0.364928,-0.36481424999999995,0.0001790000000000064,0.2897888975000002,0.28981415000000016
PEAD60_signed,28534,-0.008793847053339889,0.18369131839725697,-0.6032685300000001,-0.6032333751000001,0.0,0.48552788719999856,0.48567115999999894
PEAD20_abs,43728,0.08385865782885107,0.08466462761044094,0.0010905400000000012,0.001090934199999998,0.0600705,0.49018954670000064,0.4902137900000004
PEAD60_abs,43706,0.14223815822083924,0.13561526451920444,0.0019343499999999892,0.0019346824999999907,0.10323650000000001,0.717360997499998,0.717378049999999
EA_CAR02,43734,0.0010000482393561054,0.06574132540212177,-0.17598939000000002,-0.17598563130000003,-0.0025414999999999995,0.24665227679999976,0.24667703999999982
EA_absCAR02,43734,0.047627180198929885,0.04922851562671186,0.0005449999999999986,0.0005449999999999998,0.032737,0.27533996629999963,0.2753768899999997
SUE_price,28538,-0.01445354185729832,0.030742013345075352,-0.1957237986624549,-0.19543113711128132,-0.0048015848661469955,0.022509864486190974,0.022517509432833774
SUE_abs_price,28538,0.01677580586454022,0.030004567432849703,0.0,0.0,0.00632538549988591,0.19724812743125636,0.1976368879946362
AF_Dispersion,24958,0.2833363174984357,0.5148579627579994,0.0,0.0,0.13652338298648897,3.8597348830114124,3.862750022104691
AF_Coverage,28538,2.3605970371295983,1.1117061876472374,0.6931471805599453,0.6931471805599453,2.302585092994046,4.700480365792417,4.700480365792417
AF_Error_abs,28538,0.01677580586454022,0.030004567432849703,0.0,0.0,0.00632538549988591,0.19724812743125636,0.1976368879946362
AF_Optimism,28538,0.014453541857298333,0.03074201334507543,-0.02251750943283374,-0.022509864486190932,0.0048015848661469955,0.19543113711128293,0.19572379866245618
Bench_Accuracy,28853,2.2909075550397175,3.694653577971291,0.053485333333333336,0.053492960000000006,1.0049975103734439,23.283938170827057,23.290038451127806
Bench_Optimism,28821,0.025912639872857645,0.032882529131574294,-0.04398029914529914,-0.04396146153846154,0.018666666666666665,0.1792213333333333,0.17922666666666665
Bench_BuyShare,28973,0.9240250443791402,0.2074896939965465,0.0,0.0,1.0,1.0,1.0
NCSKEW_off,43514,-0.4177466436163073,0.7409947971806513,-2.6533312099999997,-2.6532087226999996,-0.365078,1.5825532758000043,1.5826643400000024
DUVOL_off,43514,-0.28126180905363785,0.4739433230025722,-1.4451998899999998,-1.4451606442999998,-0.283728,0.9188887196000032,0.9189660800000018
CRASH_off,43514,0.09093625040216942,0.2875217358470992,0.0,0.0,0.0,1.0,1.0
