="H2 资产配置机制 — 路径 B：滞后 DU/FinAsset 版本"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="Base_PD_KW_lag",="Base_PD_LLM_lag",="H2_Fin_KW_lag",="H2_Fin_LLM_lag",="H2_Fin_KWln_lag",="Fin_PD_lag",="Joint_KW_lag",="Joint_LLM_lag",="Joint_KW_fullag",="Joint_LLM_fullag"
="DU_kw_lag",="-0.00387***",="",="0.000888**",="",="",="",="-0.00387***",="",="-0.00387***",=""
="",="(0.00100)",="",="(0.000411)",="",="",="",="(0.00100)",="",="(0.00100)",=""
="Size",="0.00375",="0.00380",="-0.00515***",="-0.00498***",="-0.00496***",="0.00298",="0.00371",="0.00376",="0.00373",="0.00377"
="",="(0.00269)",="(0.00270)",="(0.00108)",="(0.00108)",="(0.00108)",="(0.00272)",="(0.00270)",="(0.00271)",="(0.00269)",="(0.00271)"
="Lev",="0.0216***",="0.0216***",="-0.0543***",="-0.0542***",="-0.0542***",="0.0209***",="0.0211***",="0.0211***",="0.0214***",="0.0214***"
="",="(0.00678)",="(0.00677)",="(0.00393)",="(0.00392)",="(0.00393)",="(0.00683)",="(0.00682)",="(0.00681)",="(0.00680)",="(0.00679)"
="ROA",="-0.0689***",="-0.0679***",="-0.0136*",="-0.0142*",="-0.0142*",="-0.0666***",="-0.0690***",="-0.0680***",="-0.0689***",="-0.0679***"
="",="(0.0158)",="(0.0158)",="(0.00795)",="(0.00799)",="(0.00798)",="(0.0159)",="(0.0158)",="(0.0158)",="(0.0158)",="(0.0158)"
="TobinQ",="0.0129***",="0.0129***",="0.00182***",="0.00176***",="0.00175***",="0.0132***",="0.0129***",="0.0129***",="0.0129***",="0.0129***"
="",="(0.00117)",="(0.00116)",="(0.000578)",="(0.000577)",="(0.000582)",="(0.00117)",="(0.00117)",="(0.00116)",="(0.00117)",="(0.00116)"
="Age",="-0.0181***",="-0.0192***",="0.0360***",="0.0363***",="0.0363***",="-0.0193***",="-0.0178***",="-0.0188***",="-0.0179***",="-0.0189***"
="",="(0.00558)",="(0.00565)",="(0.00257)",="(0.00255)",="(0.00256)",="(0.00569)",="(0.00559)",="(0.00565)",="(0.00559)",="(0.00565)"
="Growth",="0.0142***",="0.0143***",="-0.00196*",="-0.00204*",="-0.00205*",="0.0146***",="0.0142***",="0.0143***",="0.0143***",="0.0144***"
="",="(0.00214)",="(0.00215)",="(0.00107)",="(0.00107)",="(0.00107)",="(0.00215)",="(0.00214)",="(0.00215)",="(0.00215)",="(0.00215)"
="IndepRatio",="-0.0213",="-0.0214",="-0.0112",="-0.0114",="-0.0114",="-0.0203",="-0.0214",="-0.0215",="-0.0213",="-0.0215"
="",="(0.0159)",="(0.0159)",="(0.00824)",="(0.00824)",="(0.00824)",="(0.0159)",="(0.0159)",="(0.0159)",="(0.0159)",="(0.0159)"
="Dual",="0.0000383",="0.0000756",="-0.000406",="-0.000384",="-0.000382",="-0.0000705",="0.0000349",="0.0000720",="0.0000288",="0.0000645"
="",="(0.00170)",="(0.00170)",="(0.00106)",="(0.00106)",="(0.00106)",="(0.00170)",="(0.00169)",="(0.00170)",="(0.00170)",="(0.00170)"
="Top1Share",="0.000326***",="0.000339***",="0.0000865",="0.0000829",="0.0000827",="0.000343***",="0.000327***",="0.000340***",="0.000327***",="0.000340***"
="",="(0.000111)",="(0.000111)",="(0.0000602)",="(0.0000602)",="(0.0000602)",="(0.000112)",="(0.000111)",="(0.000111)",="(0.000112)",="(0.000112)"
="SOE",="0.000443",="0.000451",="-0.00132",="-0.00136",="-0.00137",="0.000604",="0.000432",="0.000439",="0.000424",="0.000428"
="",="(0.00409)",="(0.00408)",="(0.00219)",="(0.00219)",="(0.00219)",="(0.00409)",="(0.00409)",="(0.00408)",="(0.00409)",="(0.00408)"
="CFO",="0.0146",="0.0146",="-0.0128**",="-0.0129**",="-0.0129**",="0.0148",="0.0145",="0.0145",="0.0143",="0.0143"
="",="(0.0122)",="(0.0122)",="(0.00630)",="(0.00630)",="(0.00631)",="(0.0122)",="(0.0122)",="(0.0122)",="(0.0122)",="(0.0122)"
="DU_llm_lag",="",="-0.00453***",="",="0.00000831",="",="",="",="-0.00453***",="",="-0.00453***"
="",="",="(0.000852)",="",="(0.000483)",="",="",="",="(0.000852)",="",="(0.000852)"
="DU_kw_ln_lag",="",="",="",="",="-0.0000952",="",="",="",="",=""
="",="",="",="",="",="(0.000562)",="",="",="",="",=""
="FinAsset_lag",="",="",="",="",="",="-0.00518",="",="",="-0.00452",="-0.00532"
="",="",="",="",="",="",="(0.0104)",="",="",="(0.0103)",="(0.0104)"
="FinAsset",="",="",="",="",="",="",="-0.00842",="-0.00921",="",=""
="",="",="",="",="",="",="",="(0.0110)",="(0.0110)",="",=""
="_cons",="0.0305",="0.0328",="0.109***",="0.105***",="0.105***",="0.0457",="0.0314",="0.0338",="0.0309",="0.0333"
="",="(0.0628)",="(0.0633)",="(0.0242)",="(0.0241)",="(0.0241)",="(0.0637)",="(0.0630)",="(0.0634)",="(0.0629)",="(0.0633)"
="N",="37294",="37294",="37294",="37294",="37294",="37294",="37294",="37294",="37294",="37294"
="R-sq",="0.418",="0.418",="0.688",="0.688",="0.688",="0.417",="0.418",="0.418",="0.418",="0.418"
="adj. R-sq",="0.335",="0.335",="0.643",="0.643",="0.643",="0.335",="0.335",="0.335",="0.335",="0.335"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
