Coef,SE,t,p,Sig,N,R2,Column,DV,Var
0.010772950665510497,0.006031038695430317,1.786251292612846,0.07442220149394774,*,34062,0.6155883836680203,(1)_替换DV,SYNCH,DU_kw
-0.004088065114019305,0.001177939653388516,-3.470521687812603,0.0005445570144224643,***,43847,0.4246078021465396,(2)_替换IV,PriceDelay,DU_kw_ln
-0.002207430285075252,0.0006867542183306482,-3.2142944683194523,0.0013581775107576188,***,43792,0.4701082028410827,(3)_IndYear,PriceDelay,DU_kw
-0.004064953947778602,0.0009074486344944803,-4.479541643746148,8.459949124794974e-06,***,43845,0.43518328412971663,(4)_ProvYear,PriceDelay,DU_kw
-0.004658819745777063,0.0009231145869945948,-5.046848800152632,5.453248241860109e-07,***,38917,0.43367393900024187,(5)_No2024,PriceDelay,DU_kw
-0.00414335085544677,0.0008421040755042542,-4.920236080042387,1.0381897628253256e-06,***,41427,0.4260261796868302,(6)_NoIT,PriceDelay,DU_kw
-0.0038669526843652727,0.0009727165886518151,-3.9754155829961406,7.625003260436358e-05,***,33021,0.45039149919793964,(7)_PSM,PriceDelay,DU_kw
-0.014612765269276868,0.004635428276076149,-3.152408881978528,0.001677689630112722,***,34055,,(8)_IV,PriceDelay,DU_kw
-0.004108070434931267,0.0009610305832462499,-4.274651094926326,2.122196951126476e-05,***,43847,0.4250916646237217,(9)_Heckman,PriceDelay,DU_kw
