model,var,coef,se,t,p,N
M1_up_only,DU_kw,-0.004635638818182879,0.0008962510013066922,-5.172255106464967,2.773111507092807e-07,43721
M1_up_only,UpDU_mean,-0.0030258740456314136,0.002152744739528524,-1.4055888699066639,0.1601446167475704,43721
M1_up_only,HasUp,0.006067973378580158,0.004026297202054961,1.5070853128982022,0.1320921793707992,43721
M2_down_only,DU_kw,-0.004638652756702708,0.0008956739801567708,-5.178952229795489,2.6778079420530787e-07,43721
M2_down_only,DownDU_mean,-0.0013588118063283315,0.0017382308992412564,-0.7817211205493225,0.43455624001373394,43721
M2_down_only,HasDown,-0.008094008622871428,0.0044427245420232036,-1.8218569587898512,0.06876353804308999,43721
M3_both,DU_kw,-0.004638417768114816,0.0008960374432589792,-5.176589218464375,2.7110673794794593e-07,43721
M3_both,UpDU_mean,-0.002844246203377017,0.002182570841060471,-1.3031632925119856,0.19280717769741118,43721
M3_both,HasUp,0.006108233949853147,0.0040115398096333445,1.5226656694730498,0.12814606854653987,43721
M3_both,DownDU_mean,-0.0010750938105367272,0.0018085896086230124,-0.5944376797317001,0.5523485785497735,43721
M3_both,HasDown,-0.00834480006184304,0.0044503481913188096,-1.8750892521445957,0.06106022132330957,43721
M4_linked_sub,DU_kw,-0.0003223263708143511,0.004710266857345111,-0.06843059651954131,0.9454805441878862,1344
M4_linked_sub,UpDU_mean,-0.0015284079084635597,0.0020322615049168003,-0.7520724595559034,0.45249485210592244,1344
M4_linked_sub,DownDU_mean,-0.004114484718172094,0.0022032314994863424,-1.867477257442687,0.06264066883220254,1344
M5_lag_both,DU_kw_lag,-0.004061796228234756,0.0010047893504301826,-4.04243558761423,5.7116538712209675e-05,38449
M5_lag_both,UpDU_mean_lag,0.0015134930722916085,0.0017484612808705753,0.8656142911772265,0.38691708415995096,38449
M5_lag_both,HasUp_lag,-0.0037286642709032057,0.004068838293192763,-0.9163952957140926,0.3596887888987512,38449
M5_lag_both,DownDU_mean_lag,-0.0010758432617437987,0.0015045880796536024,-0.7150417288906659,0.4747563877468153,38449
M5_lag_both,HasDown_lag,-0.0004301669529042895,0.004847343302925428,-0.0887428279826351,0.9293047271412611,38449
M6_max_both,DU_kw,-0.004639004010631702,0.0008960595910697589,-5.177115514263327,2.703625345823468e-07,43721
M6_max_both,UpDU_max,-0.0026972065131345532,0.002076490722134679,-1.2989253861735361,0.19425716556148243,43721
M6_max_both,HasUp,0.006052984677071338,0.0040088331756752745,1.5099118401333158,0.13136937469336885,43721
M6_max_both,DownDU_max,-0.0010674251497550264,0.0018530318499439672,-0.5760425271628783,0.5647109476505898,43721
M6_max_both,HasDown,-0.008366615679030116,0.004457143758884299,-1.8771249328346604,0.06078045733156223,43721
