bootstrap_id,feature,label,rank,mean_abs_shap
18,kw_data_value_p10k,数据价值变现,5,0.002019898137175169
18,kw_data_gov_p10k,数据治理,4,0.002128293599543427
19,kw_data_stock_p10k,数据存量,3,0.004485151229848185
19,kw_data_dev_p10k,数据开发能力,1,0.006080454905219919
19,kw_data_app_p10k,数据驱动应用,2,0.00569079926399626
19,kw_data_value_p10k,数据价值变现,5,0.001726471381437496
19,kw_data_gov_p10k,数据治理,4,0.00241276076752319
20,kw_data_stock_p10k,数据存量,2,0.005718185627487381
20,kw_data_dev_p10k,数据开发能力,3,0.005702062647871104
20,kw_data_app_p10k,数据驱动应用,1,0.006827080298573981
20,kw_data_value_p10k,数据价值变现,5,0.0014312059712490268
20,kw_data_gov_p10k,数据治理,4,0.0032999467122968485
21,kw_data_stock_p10k,数据存量,2,0.0055892309402480024
21,kw_data_dev_p10k,数据开发能力,1,0.006124326055135012
21,kw_data_app_p10k,数据驱动应用,3,0.00529663272631798
21,kw_data_value_p10k,数据价值变现,5,0.001746605383231696
21,kw_data_gov_p10k,数据治理,4,0.00264292426214492
22,kw_data_stock_p10k,数据存量,3,0.006079938255171735
22,kw_data_dev_p10k,数据开发能力,1,0.006747220672378553
22,kw_data_app_p10k,数据驱动应用,2,0.006345981968955692
22,kw_data_value_p10k,数据价值变现,5,0.0008975848657298348
22,kw_data_gov_p10k,数据治理,4,0.0026577894608208227
23,kw_data_stock_p10k,数据存量,3,0.005475083147540004
23,kw_data_dev_p10k,数据开发能力,1,0.006774399684368515
23,kw_data_app_p10k,数据驱动应用,2,0.0060982451261100395
23,kw_data_value_p10k,数据价值变现,5,0.0025205806486982042
23,kw_data_gov_p10k,数据治理,4,0.0026010781301625914
24,kw_data_stock_p10k,数据存量,3,0.005467719043934121
24,kw_data_dev_p10k,数据开发能力,2,0.006156395831494883
24,kw_data_app_p10k,数据驱动应用,1,0.0062663899548339825
24,kw_data_value_p10k,数据价值变现,5,0.0013908977801279192
24,kw_data_gov_p10k,数据治理,4,0.002883324692644686
25,kw_data_stock_p10k,数据存量,3,0.00501726469285403
25,kw_data_dev_p10k,数据开发能力,2,0.005309720940303085
25,kw_data_app_p10k,数据驱动应用,1,0.00551919104166027
25,kw_data_value_p10k,数据价值变现,5,0.0015217168193182853
25,kw_data_gov_p10k,数据治理,4,0.0022701654071441576
26,kw_data_stock_p10k,数据存量,2,0.005681910641227705
26,kw_data_dev_p10k,数据开发能力,1,0.006069137413488759
26,kw_data_app_p10k,数据驱动应用,3,0.00487410570413957
26,kw_data_value_p10k,数据价值变现,5,0.0016733840520148791
26,kw_data_gov_p10k,数据治理,4,0.002508255560001604
27,kw_data_stock_p10k,数据存量,2,0.005691517600876681
27,kw_data_dev_p10k,数据开发能力,1,0.00651060416684792
27,kw_data_app_p10k,数据驱动应用,3,0.005688908112227475
27,kw_data_value_p10k,数据价值变现,4,0.002270623311458415
27,kw_data_gov_p10k,数据治理,5,0.002207946394125267
28,kw_data_stock_p10k,数据存量,3,0.004708311749986407
28,kw_data_dev_p10k,数据开发能力,1,0.006368229409120615
28,kw_data_app_p10k,数据驱动应用,2,0.005560109634259701
28,kw_data_value_p10k,数据价值变现,5,0.0015253171726852496
28,kw_data_gov_p10k,数据治理,4,0.002356193214495822
29,kw_data_stock_p10k,数据存量,3,0.005019115931511117
29,kw_data_dev_p10k,数据开发能力,1,0.0066318562160537185
29,kw_data_app_p10k,数据驱动应用,2,0.005879602497595717
29,kw_data_value_p10k,数据价值变现,5,0.001560202114023993
29,kw_data_gov_p10k,数据治理,4,0.0026827568430862125
30,kw_data_stock_p10k,数据存量,3,0.004724538438214262
30,kw_data_dev_p10k,数据开发能力,1,0.006511997831246549
30,kw_data_app_p10k,数据驱动应用,2,0.005946625352485343
30,kw_data_value_p10k,数据价值变现,5,0.0016926337270613508
30,kw_data_gov_p10k,数据治理,4,0.003433162569270509
