ym_dt,Q1,Q2,Q3,Q4,Q5,DAT,Q5_Q1,MKT,SMB,HML,MKT5,SMB5,HML5,RMW,CMA,UMD
2012-07-01,-0.09416753379953378,-0.08949152668213457,-0.08848060232558141,-0.09916561200923787,-0.10093309813084113,-0.006765564331307344,-0.006765564331307344,-0.0548077608691564,-0.049874121652371484,0.007560331805465559,-0.15557624717350105,-0.09504519918658416,0.025571649152320797,0.08117056386220467,-0.046832684339895736,-0.013919
2012-08-01,0.02685424355971897,0.008754306976744187,0.015825358139534885,0.021204858796296293,0.04510402790697675,0.01824978434725778,0.01824978434725778,-0.02429761302752742,0.08384593009540153,-0.014364485084252032,-0.07113606176504028,0.22720065196237926,-0.04264992627130315,-0.08997351607670079,0.052502352292539856,0.008294
2012-09-01,0.02039158411214953,0.011408678321678323,0.011555123255813952,0.003079090487238977,0.006113590697674419,-0.014277993414475111,-0.014277993414475111,0.020028942498102387,-0.021738966745025068,-0.022042337918847466,0.06129833788836647,-0.0540612537919799,-0.05167666100121682,0.05530972713052251,0.0014687442941985207,-0.01107
2012-10-01,0.00080082476635514,0.027622400932400936,0.0010815697674418606,-0.004860719257540605,-0.014266550116550116,-0.015067374882905256,-0.015067374882905256,-0.006528946496817123,0.01785639363678415,0.007614147379723546,-0.019459236373708166,0.06241096837525539,0.03854623672247692,-0.017656138286771594,0.01287229081805319,0.022141
2012-11-01,-0.09701902797202798,-0.10550793006993006,-0.10921715581395351,-0.10851552314814815,-0.13157133874709978,-0.0345523107750718,-0.0345523107750718,-0.0526068242955523,-0.0639298649853175,0.05425253955880249,-0.14966362722618032,-0.14745810724206576,0.13763304094176543,0.04007494679089518,-0.02141995663888918,-0.020913
2012-12-01,0.1607048504672897,0.1617000558139535,0.15870507925407926,0.16152807925407925,0.1697173511627907,0.009012500695501025,0.009012500695501025,0.14692738350944445,0.01278998847495516,0.01568707336540731,0.5087169364189723,0.031052486297840964,-0.0021248164132613434,0.01516346269862967,0.000972331753467337,-0.07655
2013-01-01,0.06044829439252337,0.05939606308411215,0.0690788878504673,0.06793989095127609,0.07140096721311476,0.01095267282059139,0.01095267282059139,0.051577814785998655,0.03154516952676367,0.014646991609793103,0.16285146825607866,0.0856911918518446,0.01176752924938218,-0.07545949401979446,0.027227264697645248,-0.003273
2013-02-01,0.045296811059907835,0.033770627039627035,0.05930092271662763,0.05052516166281755,0.05799849180327869,0.012701680743370858,0.012701680743370858,-0.006812342193699195,0.04598009107089629,-0.014677079554492711,-0.0202981187098229,0.11701125119887967,-0.024141832040592837,-0.03169090266151997,0.01597123152636648,0.004369
2013-03-01,-0.03570354838709677,-0.037548857476635514,-0.044690888111888115,-0.030762416861826698,-0.021818841860465114,0.013884706526631659,0.013884706526631659,-0.051899807770249384,0.028884565422522712,-0.01158406914375476,-0.14775844997661147,0.08578098914174537,-0.023656720553623223,-0.03431953033817059,0.018027991386943443,0.027779
2013-04-01,-0.04087553793103448,-0.03106059069767442,-0.04016413317757009,-0.014826559999999999,-0.011109018735362998,0.029766519195671484,0.029766519195671484,-0.02351340020715187,-0.010422418517157528,0.010354322157705154,-0.06889456074200517,-0.023339079219847125,0.03057095612322147,-0.005011760108070584,0.0021528073442038664,0.012476
2013-05-01,0.11529140322580646,0.13150428837209302,0.13514375409836066,0.1466771588785047,0.1963188738317757,0.08102747060596925,0.08102747060596925,0.06832436783939233,0.0837920156161005,-0.023381782180413535,0.21929671436868814,0.2126946440622668,-0.06687861172302012,-0.08348026686755106,0.016667078963298776,0.022709
2013-06-01,-0.17649753613053615,-0.16863300234741785,-0.163345682983683,-0.1507368857142857,-0.11683127830188679,0.05966625782864936,0.05966625782864936,-0.13116755807670677,-0.035565581403754876,0.007670029567266701,-0.34414461778562255,-0.04247632824473169,0.051155121545254145,0.04101752848880258,-0.03925421125704387,0.044217
