Model,FE,Var,Coef,t,p,N
(1),Firm+Year,DU_kw,-0.004894023182074553,-3.084461637465025,0.0021086349217220857,38614
(2),Firm+Year,DU_kw,-0.0036374737488296363,-2.5658366496172316,0.010471993663675017,38614
(3),Firm+Year,DU_kw_ln,-0.0032147162551978237,-3.1319793078918132,0.0017988912456965434,38614
(4),Firm+Year,DU_sub_ln,-0.002227567306196145,-2.640625726279961,0.008435054988813917,38614
(5),Ind+Year,DU_kw,-0.0018985742551802635,-3.2130825125142257,0.0013653759991112402,29968
(6),Ind+Year,DU_kw_ln,-0.0022012652468893345,-3.0989070695565344,0.0020098136072737027,29968
DID,Firm+Year,TreatPost,0.007502078241244963,1.3776020230171075,0.17031203797145245,16005
