test_year,train_n,test_n,r2,rmse
2017,10699,2497,-0.03885166885747182,0.10813076278958693
2018,13196,2900,-0.051330677438441885,0.08254838348861937
2019,16096,3233,-0.043041972516968174,0.07276702614980832
2020,19329,3229,-0.009197200928233062,0.0954266202322934
2021,22558,3465,-0.007388199866819711,0.1616802655823727
2022,26023,3934,-0.04376250368715473,0.08077383206555071
2023,29957,4357,-0.013467555263380726,0.11809282870493198
2024,34314,4300,-0.05242663633268774,0.07597675124878261
