FakeYear,Window,Coef,t,p,N
2019,2016-2020,-0.01140297341216257,-2.3895668770670166,0.017368244145945066,14071
2020,2017-2021,-0.01269592158531931,-2.2064025907005522,0.02796139685020438,15067
2021,2018-2022,-0.006152119521453774,-1.1956017025747618,0.23259955086190942,16231
2022,2019-2023,0.00782733085602414,1.7674274557539684,0.0781533001021184,17720
2024_real,2021-2024,0.019596367629618586,4.681361635643774,6.176522624024017e-06,16005
