Dimension,z,p
产权性质,-0.9684936429681654,0.3327978923233288
企业规模(三分位),-1.0453242197690955,0.29587314746392157
企业规模(中位数),0.6031246533278133,0.5464257669907242
信息中介活跃度,-0.9855953246756,0.32433173320698616
融资约束(SA),-0.17640801189865346,0.8599734107874963
行业属性,-0.06618800524343692,0.9472281462631675
