outcome,exposure,status,n_input,clusters_city,near_leads_chi2,near_leads_p,all_leads_chi2,all_leads_p
short_liab_ratio,high_lev_pre,ok,26541,406,2.5077944652032427,0.2853903939794661,4.8606986169934725,0.18228631491737254
short_liab_ratio,private_highlev_pre,ok,26541,406,2.7241805719810914,0.2561248428500793,6.289262097124211,0.09835445199352391
short_liab_ratio,natural_highlev_pre,ok,26541,406,3.0579610519393663,0.21675653236943693,5.138551909507751,0.16192831904699317
Lev,high_lev_pre,ok,26541,406,53.72253529574917,2.1592338680351333e-12,56.763827060044726,2.8861954267523835e-12
Lev,private_highlev_pre,ok,26541,406,10.555798764498142,0.0051031392865061136,42.800049825589575,2.713705244228671e-09
Lev,natural_highlev_pre,ok,26541,406,11.260490865563982,0.00358769468138009,48.54788385970399,1.6280605558370812e-10
InvestIneff,natural_pre,ok,22884,397,13.467914578549763,0.0011898151866274816,24.276390209508193,2.1871419815318828e-05
InvestIneff,failure_cost_pre,ok,22884,397,2.612778285821706,0.2707960991630766,16.735445001821496,0.0008010296035508223
