outcome,exposure,event,rel_year,term,coef,se_city_cluster,t,p,sig,n_input,clusters_city
LossDummy,natural_highlev_pre,+1,1,es_lag1_natural_highlev_pre,-0.005849786040214652,0.03283014260179602,-0.17818338808844011,0.8587204266001129,,26541,406
LossDummy,natural_highlev_pre,>=+2,2,es_lag2p_natural_highlev_pre,0.009295082268384124,0.03040609530229553,0.3056979916682161,0.7600840099908299,,26541,406
LossDummy,natural_pre,<=-4,-4,es_lead4m_natural_pre,-0.07750615873958243,0.028375143765966067,-2.731480741695676,0.006745371752154394,***,26541,406
LossDummy,natural_pre,-3,-3,es_lead3_natural_pre,-0.038732936564200335,0.03440156993242273,-1.1259060746438605,0.26126379423700974,,26541,406
LossDummy,natural_pre,-2,-2,es_lead2_natural_pre,-0.03820578460356145,0.019542722588310482,-1.954987818658098,0.05167695822515683,*,26541,406
LossDummy,natural_pre,0,0,es_event0_natural_pre,0.02217450266395592,0.02529531692608651,0.8766248206634579,0.3815155288470313,,26541,406
LossDummy,natural_pre,+1,1,es_lag1_natural_pre,0.011184150982842839,0.056802358422306944,0.19689589118276282,0.8440658490843089,,26541,406
LossDummy,natural_pre,>=+2,2,es_lag2p_natural_pre,-0.01050169326974817,0.037920176940504056,-0.2769420956612386,0.7820489263586499,,26541,406
LossMagnitude,high_lev_pre,<=-4,-4,es_lead4m_high_lev_pre,-0.0074067671278603255,0.004570610116954348,-1.620520442202116,0.10635643297579245,,26541,406
LossMagnitude,high_lev_pre,-3,-3,es_lead3_high_lev_pre,-0.007867743138132795,0.006091675973149146,-1.2915564079265194,0.1976802575382599,,26541,406
LossMagnitude,high_lev_pre,-2,-2,es_lead2_high_lev_pre,-0.01210123151608428,0.0036663891561452733,-3.300585671818628,0.0011026355393513043,***,26541,406
LossMagnitude,high_lev_pre,0,0,es_event0_high_lev_pre,-0.004440121520592244,0.004203175043299009,-1.0563732118820488,0.29179750204282673,,26541,406
LossMagnitude,high_lev_pre,+1,1,es_lag1_high_lev_pre,-0.0030520454249197393,0.0038785419037790664,-0.7869053630556296,0.4320679896215447,,26541,406
LossMagnitude,high_lev_pre,>=+2,2,es_lag2p_high_lev_pre,-0.0028607883852882128,0.0041228441597085325,-0.693887101832745,0.4883846257375981,,26541,406
ConservAccrual,private_highlev_pre,<=-4,-4,es_lead4m_private_highlev_pre,-0.01792243637847347,0.01171501321444516,-1.529869070602009,0.1272886823860806,,26541,406
ConservAccrual,private_highlev_pre,-3,-3,es_lead3_private_highlev_pre,-0.010298188263297332,0.010716524824801954,-0.9609634122680853,0.33748087277698136,,26541,406
ConservAccrual,private_highlev_pre,-2,-2,es_lead2_private_highlev_pre,-0.012168307512109372,0.010840126228489837,-1.122524521912746,0.2626952933005968,,26541,406
ConservAccrual,private_highlev_pre,0,0,es_event0_private_highlev_pre,0.001613089710845872,0.010045299359215403,0.16058154696664648,0.8725501275942249,,26541,406
ConservAccrual,private_highlev_pre,+1,1,es_lag1_private_highlev_pre,0.005950279340213658,0.009320788734945112,0.6383879636607489,0.5237940734170548,,26541,406
ConservAccrual,private_highlev_pre,>=+2,2,es_lag2p_private_highlev_pre,-0.003836076857514107,0.010849823754057075,-0.3535612139395059,0.7239598773856684,,26541,406
LossMagnitude,private_highlev_pre,<=-4,-4,es_lead4m_private_highlev_pre,-0.008346476683759764,0.003669816396765012,-2.2743581098818146,0.023775643029592564,**,26541,406
LossMagnitude,private_highlev_pre,-3,-3,es_lead3_private_highlev_pre,-0.0024404851451046107,0.006890023920694902,-0.3542056128099005,0.723477513257685,,26541,406
LossMagnitude,private_highlev_pre,-2,-2,es_lead2_private_highlev_pre,-0.013370248094634682,0.0046683935067843504,-2.8639933791366015,0.004531502802750387,***,26541,406
LossMagnitude,private_highlev_pre,0,0,es_event0_private_highlev_pre,-0.0024365815523921435,0.005380806457078974,-0.4528283207783071,0.6510574028415559,,26541,406
LossMagnitude,private_highlev_pre,+1,1,es_lag1_private_highlev_pre,-0.0005080211375003796,0.003714439452333656,-0.13676926061648606,0.8913211008974031,,26541,406
LossMagnitude,private_highlev_pre,>=+2,2,es_lag2p_private_highlev_pre,-0.002562922266863528,0.004818704686725177,-0.5318695445114123,0.5952794072297867,,26541,406
LossMagnitude,natural_highlev_pre,<=-4,-4,es_lead4m_natural_highlev_pre,-0.007996473175449485,0.003662123545754615,-2.183561825684321,0.029906201144298095,**,26541,406
LossMagnitude,natural_highlev_pre,-3,-3,es_lead3_natural_highlev_pre,-0.004436061696072949,0.006528382815646282,-0.6795039171785758,0.4974349640559761,,26541,406
LossMagnitude,natural_highlev_pre,-2,-2,es_lead2_natural_highlev_pre,-0.013481060566342426,0.004863137108020581,-2.7720914025040835,0.005980446675347917,***,26541,406
LossMagnitude,natural_highlev_pre,0,0,es_event0_natural_highlev_pre,-0.003372588617235881,0.005185111902676382,-0.6504369974146679,0.5159955783063275,,26541,406
LossMagnitude,natural_highlev_pre,+1,1,es_lag1_natural_highlev_pre,-0.0015475389395767157,0.0034763593208466765,-0.44516081243287836,0.6565811951623064,,26541,406
LossMagnitude,natural_highlev_pre,>=+2,2,es_lag2p_natural_highlev_pre,-0.0022423699096757984,0.004696958773806476,-0.4774088974723006,0.6334799097203936,,26541,406
LossDummy,private_highlev_pre,<=-4,-4,es_lead4m_private_highlev_pre,-0.10119407384899369,0.03526920788941993,-2.8691904328066844,0.004460026756899715,***,26541,406
LossDummy,private_highlev_pre,-3,-3,es_lead3_private_highlev_pre,-0.03210496865562297,0.036045936516707636,-0.8906681794976256,0.37394677551640454,,26541,406
LossDummy,private_highlev_pre,-2,-2,es_lead2_private_highlev_pre,-0.09408223938013076,0.03333958231599338,-2.8219381541261375,0.0051494220855619055,***,26541,406
LossDummy,private_highlev_pre,0,0,es_event0_private_highlev_pre,-0.03457798362676543,0.047041969433044284,-0.7350454082493489,0.4629872981631866,,26541,406
LossDummy,private_highlev_pre,+1,1,es_lag1_private_highlev_pre,-0.009714921387957515,0.033660675909526934,-0.2886133782360536,0.7731117272339201,,26541,406
LossDummy,private_highlev_pre,>=+2,2,es_lag2p_private_highlev_pre,-0.03096602084329526,0.036853185892483424,-0.8402535654213572,0.40155336855560675,,26541,406
