outcome,exposure,event,rel_year,term,coef,se_city_cluster,t,p,sig,n_input,clusters_city
ConservAccrual,natural_pre,<=-4,-4,es_lead4m_natural_pre,-0.01915793114963924,0.014497783005194198,-1.3214386739527988,0.18753952616897585,,26541,406
ConservAccrual,natural_pre,-3,-3,es_lead3_natural_pre,-0.014257915169319714,0.010891008075142847,-1.3091455878966196,0.1916634846379035,,26541,406
ConservAccrual,natural_pre,-2,-2,es_lead2_natural_pre,-0.00912395751553645,0.007957127912680903,-1.1466395432698808,0.25260540682248256,,26541,406
ConservAccrual,natural_pre,0,0,es_event0_natural_pre,0.0013194431594438678,0.0059469999027959184,0.22186702219778845,0.8245949817400078,,26541,406
ConservAccrual,natural_pre,+1,1,es_lag1_natural_pre,0.010533215352591364,0.010589488782264409,0.9946859163052996,0.32083197260704255,,26541,406
ConservAccrual,natural_pre,>=+2,2,es_lag2p_natural_pre,0.004046020650650488,0.008925436676544055,0.45331346770779113,0.6507085387657061,,26541,406
NegAccrual,natural_pre,<=-4,-4,es_lead4m_natural_pre,-0.0128904304289873,0.010013205388673221,-1.287343056357233,0.19914195130381707,,26541,406
NegAccrual,natural_pre,-3,-3,es_lead3_natural_pre,-0.007824257887710555,0.006575573303742373,-1.1898974471560548,0.23519335809082742,,26541,406
NegAccrual,natural_pre,-2,-2,es_lead2_natural_pre,-0.002834783741930112,0.0052702907575694815,-0.5378799524217216,0.5911290523675903,,26541,406
NegAccrual,natural_pre,0,0,es_event0_natural_pre,0.004450370017583155,0.003921369097846432,1.1349020983582605,0.25748198928199306,,26541,406
NegAccrual,natural_pre,+1,1,es_lag1_natural_pre,0.0064763050434320565,0.007259841245153324,0.8920725432881391,0.37319505885356863,,26541,406
NegAccrual,natural_pre,>=+2,2,es_lag2p_natural_pre,-0.0009351292810126275,0.0057797004422456884,-0.16179545814822288,0.871595052607095,,26541,406
ConservAccrual,failure_cost_pre,<=-4,-4,es_lead4m_failure_cost_pre,-0.03323100508254742,0.026577983113246682,-1.2503207990219851,0.21232852494316856,,26541,406
ConservAccrual,failure_cost_pre,-3,-3,es_lead3_failure_cost_pre,-0.021107883337543973,0.016049105077233318,-1.3152062520599268,0.18962200538959872,,26541,406
ConservAccrual,failure_cost_pre,-2,-2,es_lead2_failure_cost_pre,-0.01618508278304489,0.015104060139020095,-1.0715716591482618,0.28492559188563127,,26541,406
ConservAccrual,failure_cost_pre,0,0,es_event0_failure_cost_pre,-0.009415821913976495,0.01350944456105709,-0.6969806842480372,0.48644978443586684,,26541,406
ConservAccrual,failure_cost_pre,+1,1,es_lag1_failure_cost_pre,0.011061143782794046,0.015158770326527142,0.7296860856475647,0.46625183065988907,,26541,406
ConservAccrual,failure_cost_pre,>=+2,2,es_lag2p_failure_cost_pre,0.0017628783865884243,0.015216328416176294,0.11585438604981275,0.9078591294964364,,26541,406
LossDummy,failure_cost_pre,<=-4,-4,es_lead4m_failure_cost_pre,-0.13282196914545144,0.03685856107614377,-3.6035581766489186,0.00037735859225818125,***,26541,406
LossDummy,failure_cost_pre,-3,-3,es_lead3_failure_cost_pre,-0.04885405346037937,0.041045851127540056,-1.1902312199246938,0.235062416410184,,26541,406
LossDummy,failure_cost_pre,-2,-2,es_lead2_failure_cost_pre,-0.07875351794708274,0.039471027263100436,-1.9952234184871498,0.047082595742506506,**,26541,406
LossDummy,failure_cost_pre,0,0,es_event0_failure_cost_pre,-0.0038543803468895216,0.041007948270028,-0.09399105562437078,0.9251900714267549,,26541,406
LossDummy,failure_cost_pre,+1,1,es_lag1_failure_cost_pre,0.008108661946394098,0.056680152101752555,0.14305998917994042,0.8863557822724875,,26541,406
LossDummy,failure_cost_pre,>=+2,2,es_lag2p_failure_cost_pre,-0.03996868715914767,0.04580732372935648,-0.8725392340162625,0.3837351165626042,,26541,406
NegAccrual,failure_cost_pre,<=-4,-4,es_lead4m_failure_cost_pre,-0.021125480780191927,0.015330304285784446,-1.3780209698630221,0.1694048046687251,,26541,406
NegAccrual,failure_cost_pre,-3,-3,es_lead3_failure_cost_pre,-0.010526374368409933,0.00979485538321951,-1.0746840005870486,0.2835320546442346,,26541,406
NegAccrual,failure_cost_pre,-2,-2,es_lead2_failure_cost_pre,-0.009063650926554359,0.00978734511619643,-0.9260581719505857,0.3552913408301226,,26541,406
NegAccrual,failure_cost_pre,0,0,es_event0_failure_cost_pre,0.0006218062342300197,0.008587148555990434,0.07241125854242325,0.9423313881057258,,26541,406
NegAccrual,failure_cost_pre,+1,1,es_lag1_failure_cost_pre,0.009646867565944428,0.008981846256556472,1.0740406026102385,0.2838197518814556,,26541,406
NegAccrual,failure_cost_pre,>=+2,2,es_lag2p_failure_cost_pre,-0.0008080013770273194,0.01000125893544301,-0.08078996676747162,0.9356723583391973,,26541,406
LossDummy,natural_highlev_pre,<=-4,-4,es_lead4m_natural_highlev_pre,-0.09616278069487658,0.03388405943267162,-2.8379946885040193,0.0049049869972308535,***,26541,406
LossDummy,natural_highlev_pre,-3,-3,es_lead3_natural_highlev_pre,-0.026637163370163607,0.03389103966034935,-0.7859647752655881,0.4326178455784717,,26541,406
LossDummy,natural_highlev_pre,-2,-2,es_lead2_natural_highlev_pre,-0.08695448199431757,0.03058348134504344,-2.843184561407362,0.004828266782936241,***,26541,406
LossDummy,natural_highlev_pre,0,0,es_event0_natural_highlev_pre,-0.04227642263594225,0.038469940177589146,-1.098946929493033,0.2728276904568794,,26541,406
