outcome,exposure,status,n_input,clusters_city,near_leads_chi2,near_leads_p,event0_coef,event0_p,lag2p_coef,lag2p_p
CustConc,private_pre,ok,25601,406,0.8234097984530325,0.6625197573001973,2.0335691951519306,4.3119287855830635e-06,1.2636407875011662,0.3293392395050865
CustConc,high_lev_pre,ok,25601,406,0.1341133533433819,0.9351421990873932,-0.59773380189763,0.5415082142499918,-2.36775927496528,0.10644933741475748
AuditFee,failure_cost_pre,ok,26490,406,1.6988717638093316,0.42765611246680646,-0.025286192578343344,0.5341580533056001,0.025980854033893375,0.4663847840029005
CustHHI,high_lev_pre,ok,18164,370,0.3278482602651236,0.8488064182677378,-0.239612392235768,0.6257661833203529,-0.4139943139429209,0.5828481946513471
AuditFee,private_pre,ok,26490,406,0.6432642152699304,0.7249648503091575,0.0007537895019473735,0.9689762181749948,0.011812584416459687,0.5584803497799635
