group,outcome,exposure,coef,p,near_leads_p,post0_p,post1_p,post2p_p,direction,verdict
A_audit_risk,AuditorSwitch,private_highlev_pre,0.013278261550910532,0.26389414400929834,,,,,risk_pricing_if_positive,weak_base
A_audit_risk,AuditorSwitch,natural_highlev_pre,0.0008992385680668666,0.9327824703634886,,,,,risk_pricing_if_positive,weak_base
A_audit_risk,AuditorSwitch,failure_cost_pre,-0.02690237597419174,0.6513289643277127,,,,,risk_pricing_if_positive,weak_base
B_debt_pressure,short_liab_ratio,private_pre,0.024623472910313016,0.10434989512727655,,,,,ambiguous,weak_base
B_debt_pressure,short_liab_ratio,natural_pre,0.019814984430229932,0.2549296690321219,,,,,ambiguous,weak_base
B_debt_pressure,short_liab_ratio,high_lev_pre,0.026496720391226775,0.007175494634773294,0.2853903939794661,0.04136052905443455,0.039339649325405235,4.395605840934458e-05,ambiguous,dynamic_pass
B_debt_pressure,short_liab_ratio,private_highlev_pre,0.038737294207554306,0.003532394513259929,0.2561248428500793,0.04551595296862243,0.1668935101218696,6.109717307634099e-07,ambiguous,dynamic_pass
B_debt_pressure,short_liab_ratio,natural_highlev_pre,0.03564415234181583,0.011219668284302431,0.21675653236943693,0.08688714920001273,0.26575274158313933,1.2521521819408576e-08,ambiguous,dynamic_pass
B_debt_pressure,short_liab_ratio,failure_cost_pre,0.04227119373573699,0.10338519040609584,,,,,ambiguous,weak_base
B_debt_pressure,Lev,private_pre,0.003950610560442451,0.6203751679526586,,,,,good_if_negative,weak_base
B_debt_pressure,Lev,natural_pre,0.007801101984081462,0.2317312157219389,,,,,good_if_negative,weak_base
B_debt_pressure,Lev,high_lev_pre,-0.03430902533720601,8.700797835592411e-05,2.1592338680351333e-12,0.1587129364995672,0.003706016240145882,0.008510095621298897,good_if_negative,bad_pretrend
B_debt_pressure,Lev,private_highlev_pre,-0.026292962731019696,2.1582725919788714e-05,0.0051031392865061136,0.014958919845044605,0.0027416361866008376,0.0033624142370831667,good_if_negative,bad_pretrend
B_debt_pressure,Lev,natural_highlev_pre,-0.021478686950771365,4.251436540370079e-06,0.00358769468138009,0.025965032139763533,0.016804124851351077,0.0018054707638561762,good_if_negative,bad_pretrend
B_debt_pressure,Lev,failure_cost_pre,-0.01917055750590612,0.17503098006754225,,,,,good_if_negative,weak_base
B_debt_pressure,InvestIneff,private_pre,0.006181550766497956,0.09650514620388662,0.012328393083189004,0.7189144602133433,0.93750587202287,0.4696614554894918,good_if_negative,bad_pretrend
B_debt_pressure,InvestIneff,natural_pre,0.011476528454675887,2.6697175725676203e-06,0.0011898151866274816,0.3781187409337641,0.7827439770043338,0.5388441141670075,good_if_negative,bad_pretrend
B_debt_pressure,InvestIneff,high_lev_pre,0.006526382950863183,0.11015178881840404,,,,,good_if_negative,weak_base
B_debt_pressure,InvestIneff,private_highlev_pre,0.008494869488922564,0.06267961249163645,9.392783194553038e-05,0.000685558817648424,0.09652867923817121,0.05818318564773728,good_if_negative,bad_pretrend
B_debt_pressure,InvestIneff,natural_highlev_pre,0.008076602333477904,0.05668022906802728,0.0008928531304554193,0.026285919847772732,0.2786653270738917,0.09397151310374952,good_if_negative,bad_pretrend
B_debt_pressure,InvestIneff,failure_cost_pre,0.022081940656589,0.0007239009513615446,0.2707960991630766,0.9780379278186648,0.6682661134335559,0.5157133285267808,good_if_negative,pooled_only
B_supply_chain,CustConc,private_pre,2.067409391472951,0.019512555755513583,0.6625197573001973,4.3119287855830635e-06,0.15410988653914348,0.3293392395050865,ambiguous,dynamic_pass
B_supply_chain,CustConc,natural_pre,1.3757808726483591,0.12656737601454582,,,,,ambiguous,weak_base
B_supply_chain,CustConc,high_lev_pre,-1.3841576935192887,0.03739978770669938,0.9351421990873932,0.5415082142499918,0.0017561807550434683,0.10644933741475748,ambiguous,dynamic_pass
B_supply_chain,CustConc,private_highlev_pre,0.20505875709108162,0.692001717908246,,,,,ambiguous,weak_base
B_supply_chain,CustConc,natural_highlev_pre,-0.4120448293751344,0.3706692410998116,,,,,ambiguous,weak_base
B_supply_chain,CustConc,failure_cost_pre,1.3674067200353432,0.21351664006690774,,,,,ambiguous,weak_base
B_supply_chain,SuppConc,private_pre,-1.1811618894716802,0.22600270118973476,,,,,ambiguous,weak_base
B_supply_chain,SuppConc,natural_pre,-0.7330079093309845,0.29652702783009843,,,,,ambiguous,weak_base
B_supply_chain,SuppConc,high_lev_pre,0.9957724491458226,0.3518244505167847,,,,,ambiguous,weak_base
