policy,exposure,outcome,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,x_mean,n
pb_narrow,private_pre,AuditFee,ok,0.019954239025255702,0.011465170311342063,1.740422382170435,0.08299118720989918,*,26490.0,969.0,406.0,13.99898005736616,0.03657984144960363,
pb_narrow,private_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_narrow,private_pre,InvestIneff,ok,0.006181550766497956,0.003704862935516479,1.6684964799207107,0.09650514620388662,*,22884.0,930.0,397.0,0.06884132895139639,0.04063974829575249,
pb_narrow,private_pre,NCSKEW,ok,-0.12207737064184386,0.036590805673298935,-3.3362853972610456,0.0009755263868607145,***,26541.0,972.0,406.0,-0.6896997822213247,0.03662258392675483,
pb_narrow,private_pre,DUVOL,ok,-0.05201332273377875,0.017990402643561006,-2.8911705737945215,0.004168954185620244,***,26541.0,972.0,406.0,-0.46108389944967165,0.03662258392675483,
pb_narrow,private_pre,short_liab_ratio,ok,0.024623472910313016,0.015107030934943923,1.629934632182205,0.10434989512727655,,26541.0,972.0,406.0,0.8047610984859852,0.03662258392675483,
pb_narrow,private_pre,Lev,ok,0.003950610560442451,0.00796616086167435,0.49592402526655743,0.6203751679526586,,26541.0,972.0,406.0,0.43810332700529503,0.03662258392675483,
pb_narrow,natural_pre,AuditFee,ok,0.01553055414342854,0.014638432145009726,1.060943821686733,0.28971924164220386,,26490.0,994.0,406.0,13.99898005736616,0.03752359380898452,
pb_narrow,natural_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_narrow,natural_pre,InvestIneff,ok,0.011476528454675887,0.002386793122470994,4.8083465410669906,2.6697175725676203e-06,***,22884.0,957.0,397.0,0.06884132895139639,0.041819611955951755,
pb_narrow,natural_pre,NCSKEW,ok,-0.13329494598881508,0.029343548923232165,-4.542563898372957,8.580991976092633e-06,***,26541.0,997.0,406.0,-0.6896997822213247,0.03756452281375984,
pb_narrow,natural_pre,DUVOL,ok,-0.05448656788574245,0.016650158016776388,-3.2724354826448376,0.0012135509213491158,***,26541.0,997.0,406.0,-0.46108389944967165,0.03756452281375984,
pb_narrow,natural_pre,short_liab_ratio,ok,0.019814984430229932,0.01736594062338994,1.1410256927598503,0.2549296690321219,,26541.0,997.0,406.0,0.8047610984859852,0.03756452281375984,
