outcome,exposure,event,term,coef,se_city_cluster,t,p,sig,ci_low,ci_high,n_input,clusters_city
short_liab_ratio,high_lev_pre,<=-4,es_lead4m_high_lev_pre,0.013694498192276264,0.02462089677532277,0.5562144351298404,0.5785520111929277,,-0.03479169406653279,0.06218069045108532,26541,406
short_liab_ratio,high_lev_pre,-3,es_lead3_high_lev_pre,0.0067225701006381235,0.014138120668562192,0.4754924829285525,0.6348430445991675,,-0.021119780369764744,0.03456492057104099,26541,406
short_liab_ratio,high_lev_pre,-2,es_lead2_high_lev_pre,0.014088439052761002,0.010680772638136906,1.3190468077615132,0.18833671866703283,,-0.006945319397678059,0.03512219750320006,26541,406
short_liab_ratio,high_lev_pre,0,es_event0_high_lev_pre,0.03419064723899236,0.016676162963598397,2.050270635614769,0.04136052905443455,**,0.0013501032502503882,0.06703119122773432,26541,406
short_liab_ratio,high_lev_pre,+1,es_lag1_high_lev_pre,0.029206952168457995,0.014101000255455834,2.0712681114346836,0.039339649325405235,**,0.0014377033199426473,0.056976201016973343,26541,406
short_liab_ratio,high_lev_pre,>=+2,es_lag2p_high_lev_pre,0.050063159540119695,0.01204134375765781,4.157605708107249,4.395605840934458e-05,***,0.02635001400297657,0.07377630507726282,26541,406
short_liab_ratio,private_highlev_pre,<=-4,es_lead4m_private_highlev_pre,-0.006035272157205023,0.010560607029153582,-0.5714891332045655,0.568171491156128,,-0.026832387203740857,0.014761842889330813,26541,406
short_liab_ratio,private_highlev_pre,-3,es_lead3_private_highlev_pre,-0.0111882781755996,0.00881460284781528,-1.2692889706735502,0.20549526139936747,,-0.02854696873282503,0.006170412381625828,26541,406
short_liab_ratio,private_highlev_pre,-2,es_lead2_private_highlev_pre,-0.005333125340659293,0.005500938032055613,-0.9694938044350936,0.33321752070017174,,-0.01616618075127183,0.0054999300699532455,26541,406
short_liab_ratio,private_highlev_pre,0,es_event0_private_highlev_pre,0.031490304911914756,0.015669125436028816,2.009704054031471,0.04551595296862243,**,0.0006329305704503574,0.062347679253379154,26541,406
short_liab_ratio,private_highlev_pre,+1,es_lag1_private_highlev_pre,0.025755688067168183,0.018579925140603783,1.3862105402611549,0.1668935101218696,,-0.010833954899229604,0.06234533103356597,26541,406
short_liab_ratio,private_highlev_pre,>=+2,es_lag2p_private_highlev_pre,0.04637265783655435,0.009062304228305463,5.117093475157526,6.109717307634099e-07,***,0.028526166332563364,0.06421914934054535,26541,406
short_liab_ratio,natural_highlev_pre,<=-4,es_lead4m_natural_highlev_pre,-0.00946418046036344,0.010637163688562235,-0.8897278200710531,0.3744506499804645,,-0.03041205934546508,0.011483698424738202,26541,406
short_liab_ratio,natural_highlev_pre,-3,es_lead3_natural_highlev_pre,-0.011130688531004051,0.009610592881474006,-1.1581687694273555,0.2478787244789986,,-0.030056930675008225,0.007795553613000125,26541,406
short_liab_ratio,natural_highlev_pre,-2,es_lead2_natural_highlev_pre,-0.0060283888270372885,0.005404956525855903,-1.1153445542436924,0.26575279858124357,,-0.016672426842980693,0.004615649188906116,26541,406
short_liab_ratio,natural_highlev_pre,0,es_event0_natural_highlev_pre,0.02787166234371348,0.016216942717083398,1.718675513008544,0.08688714920001273,*,-0.0040645343596777544,0.059807859047104714,26541,406
short_liab_ratio,natural_highlev_pre,+1,es_lag1_natural_highlev_pre,0.021219474922347454,0.01902503787310058,1.1153446875577357,0.26575274158313933,,-0.016246733252930735,0.058685683097625646,26541,406
short_liab_ratio,natural_highlev_pre,>=+2,es_lag2p_natural_highlev_pre,0.040440611000298395,0.006872666943946561,5.884267538370741,1.2521521819408576e-08,***,0.02690619534453128,0.05397502665606551,26541,406
NCSKEW,natural_pre,<=-4,es_lead4m_natural_pre,-0.07675405498277522,0.0688509382647291,-1.114785897145787,0.2659917254670108,,-0.21234293545154054,0.058834825485990075,26541,406
NCSKEW,natural_pre,-3,es_lead3_natural_pre,-0.07808486816523721,0.08145710030498991,-0.9586011271316256,0.3386677119569883,,-0.2384991967851198,0.08232946045464537,26541,406
NCSKEW,natural_pre,-2,es_lead2_natural_pre,-0.010674198797334732,0.03023658708304182,-0.35302260695028487,0.7243631357300748,,-0.07021942933613458,0.04887103174146511,26541,406
