component,N_nonmissing,N_nonzero,firms_nonmissing,firms_nonzero,min_year,max_year,mean,p50,p95,max
DigInvPatAut,56315,1642,5852,747,2011,2024,0.09354523661546657,0.0,0.0,106.0
DigHumanDemand,19617,9063,5754,3355,2022,2026,19.785798032318908,0.0,94.0,3241.0
DigHumanRecruit,19617,9051,5754,3351,2022,2026,138.01952388234693,0.0,184.0,224210.0
DigCapexAmount,56315,717,5852,659,2011,2024,7722206.699770575,0.0,0.0,16143170000.0
AIInvestTotal,65873,53203,5898,5577,2007,2025,68175080.95235635,3548348.82,169349111.1539996,34709000000.0
AIInvestLevel,53223,50671,5577,5540,2007,2025,0.005463750634124344,0.0017,0.01988999999999942,0.6367
PatentTitleDataApp,67621,932,5898,346,1980,2025,0.03744398929326689,0.0,0.0,49.0
PatentTitleDataGrant,67621,738,5898,311,1980,2025,0.027151328729240917,0.0,0.0,50.0
