y_name,du_measure,expected_sign,coef,se,t_stat,p_value,N,status
AbsorbRatio60,DU_kw,negative,-0.023630612165082283,0.21598615049949907,-0.10940799727405248,0.9129017082867164,37269,fail
AbsorbRatio60,DU_llm,negative,0.48555769733201903,0.27268522907887316,1.7806527290540308,0.07528470788129504,37269,fail
AbsorbLogRatio60,DU_kw,negative,-0.009447219898147148,0.013447027615170611,-0.7025507917815996,0.48250569755712447,37269,fail
AbsorbLogRatio60,DU_llm,negative,-0.007246646143014202,0.014336328451216998,-0.5054743386825126,0.6133415073183004,37269,fail
AbsorbShare60,DU_kw,negative,-0.0010738270152480713,0.0020889277512853126,-0.5140565606385132,0.6073305053912312,37269,fail
AbsorbShare60,DU_llm,negative,-0.001942651747710051,0.002203141790717928,-0.8817642858460817,0.3781245471114729,37269,fail
ICOE_PEG,DU_kw,negative,-0.0006300094749876677,0.00030885356383965345,-2.0398322983727906,0.04165316699651189,21975,pass
ICOE_PEG,DU_llm,negative,0.00028839637296433786,0.00034442816683266935,0.8373193621660073,0.40263124432752684,21975,fail
ICOE_EY,DU_kw,negative,-0.0006807061409783678,0.0002829076427261282,-2.4061072879439056,0.016319227407802783,23868,pass
ICOE_EY,DU_llm,negative,0.0010812687835810326,0.00033635842642757845,3.2146326615481455,0.0013514614892484733,23868,fail
PEAD60_abs,DU_kw,negative,-0.0036667971164242173,0.0014356290253209546,-2.5541397197681026,0.010798173485027096,37269,pass
PEAD60_abs,DU_llm,negative,-0.0036978756737546577,0.0012808897753962963,-2.8869585383414953,0.003976918924838424,37269,pass
CS_Spread,DU_kw,negative,-3.744706091933597e-05,1.9257032451861445e-05,-1.9445914635573156,0.05211532023884713,37294,marginal
CS_Spread,DU_llm,negative,-9.32832989021737e-05,1.523769153730921e-05,-6.121878676554861,1.3451402214315067e-09,37294,pass
PriceDelay,DU_kw,negative,-0.0038740321579080906,0.0010010703278395246,-3.8698901067908915,0.00011622536323430133,37294,pass
PriceDelay,DU_llm,negative,-0.0045272059693985045,0.0008523872358823934,-5.311208074006328,1.3530420139851174e-07,37294,pass
