spec,exposure,y_name,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
cityyear_prewashyear_fe,dx_wany17,asset_trade_noinst_share,.0006522840811273,.00053797627,1.2124774,.22658452,18296,1937,0,0,0
drop_year_2024,dx_wany17,asset_trade_noinst_share,.001203797012705,.00051802013,2.323842,.02068549,16529,1937,1,1,0
industry_2024_fe,dx_wany17,asset_trade_noinst_share,.0010419380459396,.00051102816,2.0389054,.042181492,19218,1937,1,1,0
industry_year_fe,dx_wany17,asset_trade_noinst_share,.0003692046489006,.00052024802,.70967048,.47836286,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,asset_trade_noinst_share,.002201163479299,.00067534676,3.2593086,.0012220601,19222,1129,1,1,1
baseline,dx_wstr17,asset_trade_noinst_share,.0023593634159647,.00072005391,3.2766483,.0011514671,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,asset_trade_noinst_share,.0011955205546096,.00074713747,1.6001346,.11095342,18296,1129,0,0,0
drop_year_2024,dx_wstr17,asset_trade_noinst_share,.0024438042345809,.0005848835,4.1782751,.000036836755,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,asset_trade_noinst_share,.0020766897048352,.00064575166,3.2159264,.0014166317,19218,1129,1,1,1
industry_year_fe,dx_wstr17,asset_trade_noinst_share,.0007429839316593,.00067186926,1.105846,.26952353,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,inst_term_kw,.0042918743202096,.0027072292,1.5853384,.11375781,19222,1937,0,0,0
baseline,dx_wany17,inst_term_kw,.0047633792813388,.0027670318,1.7214761,.086014092,19222,1937,1,0,0
cityyear_prewashyear_fe,dx_wany17,inst_term_kw,.0032549365532174,.0025384375,1.2822599,.20105368,18296,1937,0,0,0
drop_year_2024,dx_wany17,inst_term_kw,.0039740750216027,.0027010667,1.4712983,.14207679,16529,1937,0,0,0
industry_2024_fe,dx_wany17,inst_term_kw,.0042395728589075,.0028170042,1.5049933,.13319299,19218,1937,0,0,0
industry_year_fe,dx_wany17,inst_term_kw,.0019639429444984,.002669428,.73571676,.46237689,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,inst_term_kw,.0096042804190016,.0038388828,2.5018425,.012793068,19222,1129,1,1,0
baseline,dx_wstr17,inst_term_kw,.0107995962302613,.0040565557,2.6622577,.0081061302,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,inst_term_kw,.0067699655292338,.0036187377,1.8708086,.062652662,18296,1129,1,0,0
drop_year_2024,dx_wstr17,inst_term_kw,.0092266040187236,.0037623732,2.4523361,.014663291,16529,1129,1,1,0
industry_2024_fe,dx_wstr17,inst_term_kw,.0096280630012803,.0039942702,2.4104686,.016427105,19218,1129,1,1,0
industry_year_fe,dx_wstr17,inst_term_kw,.0052260729443536,.0034884082,1.4981254,.13496734,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,pricing_kw,.0012301447801141,.00065436319,1.8799113,.060918622,19222,1937,1,0,0
baseline,dx_wany17,pricing_kw,.0012532656504273,.00064026663,1.9574121,.05106286,19222,1937,1,0,0
cityyear_prewashyear_fe,dx_wany17,pricing_kw,.000535434016065,.00046870517,1.1423684,.25449911,18296,1937,0,0,0
drop_year_2024,dx_wany17,pricing_kw,.0013723114492667,.00069238781,1.9819982,.048233252,16529,1937,1,1,0
industry_2024_fe,dx_wany17,pricing_kw,.001119200668295,.00060057011,1.8635637,.063188031,19218,1937,1,0,0
industry_year_fe,dx_wany17,pricing_kw,.0004720952686055,.00039275049,1.2020234,.23013586,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,pricing_kw,.0025043158602749,.00095383025,2.6255362,.0090161785,19222,1129,1,1,1
baseline,dx_wstr17,pricing_kw,.0025234380655538,.0010007427,2.5215654,.012109554,19222,1129,1,1,0
cityyear_prewashyear_fe,dx_wstr17,pricing_kw,.0010237749956901,.00068900286,1.4858792,.13869248,18296,1129,0,0,0
drop_year_2024,dx_wstr17,pricing_kw,.0026373522781441,.0009699901,2.7189476,.0068634972,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,pricing_kw,.0023162252968482,.00087335199,2.6521096,.0083489846,19218,1129,1,1,1
industry_year_fe,dx_wstr17,pricing_kw,.0010253411356984,.00047559125,2.1559293,.031743947,19200,1129,1,1,0
add_prewash_x_2024,dx_wany17,product_tx_noinst_kw,.0036482818957224,.0023956706,1.5228646,.12866086,19222,1937,0,0,0
baseline,dx_wany17,product_tx_noinst_kw,.0042013185826903,.0025008249,1.6799731,.09382052,19222,1937,1,0,0
cityyear_prewashyear_fe,dx_wany17,product_tx_noinst_kw,.0041133641630954,.0024253295,1.6960022,.091250397,18296,1937,1,0,0
drop_year_2024,dx_wany17,product_tx_noinst_kw,.0034202544839419,.0022829392,1.4981803,.1349555,16529,1937,0,0,0
industry_2024_fe,dx_wany17,product_tx_noinst_kw,.003299586231779,.0024217276,1.3624927,.17388485,19218,1937,0,0,0
industry_year_fe,dx_wany17,product_tx_noinst_kw,.0016387750067398,.0023503606,.69724405,.48609513,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,product_tx_noinst_kw,.0077448060404761,.0032324528,2.3959534,.017081432,19222,1129,1,1,0
baseline,dx_wstr17,product_tx_noinst_kw,.0092793679692162,.0035550292,2.6102087,.0094223926,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,product_tx_noinst_kw,.0076513662036903,.0033509282,2.2833571,.023330459,18296,1129,1,1,0
drop_year_2024,dx_wstr17,product_tx_noinst_kw,.007301930921451,.0028727846,2.5417607,.011444689,16529,1129,1,1,0
industry_2024_fe,dx_wstr17,product_tx_noinst_kw,.0075108824510737,.0032961096,2.2787113,.023262866,19218,1129,1,1,0
industry_year_fe,dx_wstr17,product_tx_noinst_kw,.0040484420964895,.0030437566,1.3300807,.18432443,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,product_tx_noinst_share,.000377583246802,.00029408833,1.283911,.19998975,19222,1937,0,0,0
baseline,dx_wany17,product_tx_noinst_share,.0004324692898181,.00030767111,1.405622,.16068935,19222,1937,0,0,0
cityyear_prewashyear_fe,dx_wany17,product_tx_noinst_share,.0005432971421068,.00029896342,1.8172696,.070488587,18296,1937,1,0,0
drop_year_2024,dx_wany17,product_tx_noinst_share,.0003379078944684,.00026934562,1.2545513,.21044886,16529,1937,0,0,0
industry_2024_fe,dx_wany17,product_tx_noinst_share,.0003531969604914,.00029171354,1.2107664,.22677049,19218,1937,0,0,0
industry_year_fe,dx_wany17,product_tx_noinst_share,.0002466803732508,.00028694971,.85966408,.39054003,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,product_tx_noinst_share,.0005981043040471,.00040876525,1.4631976,.14427626,19222,1129,0,0,0
baseline,dx_wstr17,product_tx_noinst_share,.0007458539596313,.00044426796,1.678838,.094041795,19222,1129,1,0,0
cityyear_prewashyear_fe,dx_wstr17,product_tx_noinst_share,.0007122748584717,.0004028338,1.7681606,.078371376,18296,1129,1,0,0
drop_year_2024,dx_wstr17,product_tx_noinst_share,.0005371222918085,.00035010919,1.5341566,.12586223,16529,1129,0,0,0
industry_2024_fe,dx_wstr17,product_tx_noinst_share,.0006073497518335,.00040875393,1.4858567,.13818261,19218,1129,0,0,0
industry_year_fe,dx_wstr17,product_tx_noinst_share,.0003639159548225,.00037470582,.97120446,.33209139,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,rights_kw,.0012609135023484,.0011869263,1.0623351,.28878784,19222,1937,0,0,0
baseline,dx_wany17,rights_kw,.0015486579797408,.0013214565,1.1719326,.24199061,19222,1937,0,0,0
cityyear_prewashyear_fe,dx_wany17,rights_kw,.0006852898927293,.0010946315,.62604618,.53191084,18296,1937,0,0,0
drop_year_2024,dx_wany17,rights_kw,.0010873837996076,.0011274053,.96450114,.33543682,16529,1937,0,0,0
industry_2024_fe,dx_wany17,rights_kw,.001223471045167,.0012480968,.98026931,.32760426,19218,1937,0,0,0
industry_year_fe,dx_wany17,rights_kw,.0003705985172129,.0011327314,.32717246,.74372554,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,rights_kw,.0028239305291152,.00166056,1.7005892,.089874268,19222,1129,1,0,0
baseline,dx_wstr17,rights_kw,.0036027714726279,.0020101145,1.7923214,.073911823,19222,1129,1,0,0
cityyear_prewashyear_fe,dx_wstr17,rights_kw,.0012789733892991,.0015644062,.81754559,.41447023,18296,1129,0,0,0
drop_year_2024,dx_wstr17,rights_kw,.0027030217378467,.0015512969,1.7424271,.082280636,16529,1129,1,0,0
industry_2024_fe,dx_wstr17,rights_kw,.0028403789721816,.0017006412,1.6701812,.095743142,19218,1129,1,0,0
industry_year_fe,dx_wstr17,rights_kw,.000971687128822,.0013998094,.69415677,.48802668,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,strict_at_kw,.0160675896380412,.0058122627,2.7644293,.0059923879,19222,1937,1,1,1
baseline,dx_wany17,strict_at_kw,.016369781671781,.0059511056,2.7507129,.0062436932,19222,1937,1,1,1
cityyear_prewashyear_fe,dx_wany17,strict_at_kw,.0121147153056235,.0050790729,2.3852217,.017887078,18296,1937,1,1,0
drop_year_2024,dx_wany17,strict_at_kw,.0168635350595786,.0059311269,2.8432262,.0047186017,16529,1937,1,1,1
industry_2024_fe,dx_wany17,strict_at_kw,.0141637322537913,.0055188853,2.566412,.010674948,19218,1937,1,1,0
industry_year_fe,dx_wany17,strict_at_kw,.006953335930745,.0050781574,1.3692635,.17176114,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,strict_at_kw,.0309014724092294,.0082880035,3.7284579,.0002233304,19222,1129,1,1,1
baseline,dx_wstr17,strict_at_kw,.0323310447387176,.0091638621,3.5281024,.00047212731,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,strict_at_kw,.0211032437012508,.0074580885,2.8295779,.00507659,18296,1129,1,1,1
drop_year_2024,dx_wstr17,strict_at_kw,.0326023964087029,.0078998404,4.1269689,.000045629429,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,strict_at_kw,.0281311330113762,.0077565457,3.6267605,.00032794577,19218,1129,1,1,1
industry_year_fe,dx_wstr17,strict_at_kw,.0131527823319492,.006643224,1.9798794,.048469886,19200,1129,1,1,0
add_prewash_x_2024,dx_wany17,strict_noinst_kw,.0160675896380412,.0058122627,2.7644293,.0059923879,19222,1937,1,1,1
baseline,dx_wany17,strict_noinst_kw,.016369781671781,.0059511056,2.7507129,.0062436932,19222,1937,1,1,1
cityyear_prewashyear_fe,dx_wany17,strict_noinst_kw,.0121147153056235,.0050790729,2.3852217,.017887078,18296,1937,1,1,0
drop_year_2024,dx_wany17,strict_noinst_kw,.0168635350595786,.0059311269,2.8432262,.0047186017,16529,1937,1,1,1
industry_2024_fe,dx_wany17,strict_noinst_kw,.0141637322537913,.0055188853,2.566412,.010674948,19218,1937,1,1,0
industry_year_fe,dx_wany17,strict_noinst_kw,.006953335930745,.0050781574,1.3692635,.17176114,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,strict_noinst_kw,.0309014724092294,.0082880035,3.7284579,.0002233304,19222,1129,1,1,1
baseline,dx_wstr17,strict_noinst_kw,.0323310447387176,.0091638621,3.5281024,.00047212731,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,strict_noinst_kw,.0211032437012508,.0074580885,2.8295779,.00507659,18296,1129,1,1,1
drop_year_2024,dx_wstr17,strict_noinst_kw,.0326023964087029,.0078998404,4.1269689,.000045629429,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,strict_noinst_kw,.0281311330113762,.0077565457,3.6267605,.00032794577,19218,1129,1,1,1
industry_year_fe,dx_wstr17,strict_noinst_kw,.0131527823319492,.006643224,1.9798794,.048469886,19200,1129,1,1,0
add_prewash_x_2024,dx_wany17,strict_noinst_share,.0010966859024067,.00050242891,2.1827683,.029691344,19222,1937,1,1,0
baseline,dx_wany17,strict_noinst_share,.0011255508737306,.00049562642,2.2709661,.023732554,19222,1937,1,1,0
cityyear_prewashyear_fe,dx_wany17,strict_noinst_share,.000602582122977,.00049041625,1.2287157,.22044516,18296,1937,0,0,0
drop_year_2024,dx_wany17,strict_noinst_share,.0011368226914708,.00051734713,2.197408,.02862254,16529,1937,1,1,0
