y_name,n,mean_coef,mean_t,mean_sig05,min_coef,min_t,max_coef,max_t
DU_kw,22,.1520832345717886,2.5964804,1,.0908724934208572,2.0715692,.1689837546657968,2.910605
NarrHardGap_direct_v1,22,-.0868491086258095,-5.5368047,1,-.0950289182384559,-6.3635454,-.0738838308357078,-4.3057175
NarrHardWashing_direct_v1,22,-.1194634231521284,-6.6402898,1,-.1339094371567751,-9.1016693,-.1094160989901846,-5.7876987
TobinQ,22,.039473946665476,1.0095662,0,.008558133522934,.24425907,.0540645522600312,1.4595643
asset_trade_kw,22,.0436739231339218,2.6357112,.95454544,.0298584556351663,1.9238238,.0510915620010483,3.3922653
strict_at_kw,22,.0163142457710736,2.7206287,1,.0099027096159186,2.1395519,.0189245480739335,3.1137271
