exposure,y_family,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wmaj,pricing_efficiency,PriceDelay,2021,-.0325899536485855,.01114827,-2.9233193,.0064167972,22096,1,1,1
wmaj,pricing_efficiency,PriceDelay,2023,-.0036974430859215,.0048286547,-.76572943,.44962859,22096,0,0,0
wmaj,pricing_efficiency,PriceDelay,2024,.008311575230128,.0027810149,2.9886842,.0054425122,22096,1,1,1
wmaj,productivity,TFP,2019,,,,,0,,,
wmaj,productivity,TFP,2020,,,,,0,,,
wmaj,productivity,TFP,2021,,,,,0,,,
wmaj,productivity,TFP,2023,,,,,0,,,
wmaj,productivity,TFP,2024,,,,,0,,,
wmaj,supply_chain,SCConc,2019,.5720760696849987,.72580951,.78819036,.43657139,21939,0,0,0
wmaj,supply_chain,SCConc,2020,.1025947725503661,.58275849,.17605025,.86139953,21939,0,0,0
wmaj,supply_chain,SCConc,2021,-.2006662470871934,.33553046,-.59805673,.55414665,21939,0,0,0
wmaj,supply_chain,SCConc,2023,.1830846057377674,.1955857,.93608379,.35646558,21939,0,0,0
wmaj,supply_chain,SCConc,2024,.2513435802067535,.29755056,.8447088,.40474567,21939,0,0,0
wmaj,supply_chain,SuppConc,2019,.0497522885870387,.5021373,.099081047,.92171186,21886,0,0,0
wmaj,supply_chain,SuppConc,2020,-.5793136356974313,.56353152,-1.0280057,.31190193,21886,0,0,0
wmaj,supply_chain,SuppConc,2021,-.3510173058567353,.41911155,-.83752716,.40870717,21886,0,0,0
wmaj,supply_chain,SuppConc,2023,.2261514032090203,.25621518,.88266194,.38421258,21886,0,0,0
wmaj,supply_chain,SuppConc,2024,.4224043450177664,.28630766,1.4753512,.15020351,21886,0,0,0
wmaj,valuation,TobinQ,2019,-.0808333714920709,.036566515,-2.2105846,.034574751,22096,1,1,0
wmaj,valuation,TobinQ,2020,-.0370818625852953,.026742769,-1.3866127,.17545159,22096,0,0,0
wmaj,valuation,TobinQ,2021,-.0137564633512589,.012204994,-1.1271176,.26834184,22096,0,0,0
wmaj,valuation,TobinQ,2023,-.0117184009522395,.015051305,-.7785638,.44213936,22096,0,0,0
wmaj,valuation,TobinQ,2024,-.0090137319796982,.015443148,-.58367193,.56366408,22096,0,0,0
wstr,analyst_info,Analyst,2019,.1033114988419964,.057078566,1.8099875,.080002263,22096,1,0,0
wstr,analyst_info,Analyst,2020,.0809974951680509,.055830792,1.4507674,.15688899,22096,0,0,0
wstr,analyst_info,Analyst,2021,.0176310989787578,.038149491,.46215817,.64719522,22096,0,0,0
wstr,analyst_info,Analyst,2023,-.0561959949945781,.020544939,-2.7352719,.010216185,22096,1,1,1
wstr,analyst_info,Analyst,2024,-.0730179253610018,.038150772,-1.9139305,.064900585,22096,1,0,0
wstr,analyst_info,ForecastDisp,2019,.0410164615238077,.014896716,2.7533896,.0097742826,9725,1,1,1
wstr,analyst_info,ForecastDisp,2020,.0377096341971601,.015884608,2.3739734,.023974394,9725,1,1,0
wstr,analyst_info,ForecastDisp,2021,.0193213917233079,.017403828,1.1101806,.27545878,9725,0,0,0
wstr,analyst_info,ForecastDisp,2023,.0068690983016978,.021615775,.31778172,.75278127,9725,0,0,0
wstr,analyst_info,ForecastDisp,2024,.063513259108875,.0080079501,7.9312758,5.9279821e-09,9725,1,1,1
wstr,analyst_info,RatingDisp,2019,.0033235303170627,.015475344,.21476294,.83135873,11905,0,0,0
wstr,analyst_info,RatingDisp,2020,.01443997497038,.0084602851,1.7067955,.097859792,11905,1,0,0
wstr,analyst_info,RatingDisp,2021,-.0097876300499227,.013535317,-.72311789,.47502849,11905,0,0,0
wstr,analyst_info,RatingDisp,2023,.0018908565653678,.015092373,.12528557,.90110642,11905,0,0,0
wstr,analyst_info,RatingDisp,2024,.0134078749995642,.02019871,.66379857,.51172626,11905,0,0,0
wstr,analyst_info,ReportFreq,2019,-.0701334191505617,.10766413,-.65140933,.51958257,12451,0,0,0
wstr,analyst_info,ReportFreq,2020,-.0014413161773509,.058405425,-.024677778,.98047018,12451,0,0,0
wstr,analyst_info,ReportFreq,2021,-.0420291436792357,.09001831,-.46689549,.6438396,12451,0,0,0
wstr,analyst_info,ReportFreq,2023,-.0466455928957608,.061039321,-.76418924,.45053238,12451,0,0,0
wstr,analyst_info,ReportFreq,2024,-.0451360266641429,.031333148,-1.44052,.15974472,12451,0,0,0
wstr,audit_accounting,AuditFee,2019,.0172912252953614,.017528914,.98644018,.33155423,22068,0,0,0
wstr,audit_accounting,AuditFee,2020,.0128287772582001,.013600064,.94328803,.35282758,22068,0,0,0
wstr,audit_accounting,AuditFee,2021,.0039930221011568,.0088839112,.44946668,.65622199,22068,0,0,0
wstr,audit_accounting,AuditFee,2023,-.0125389092137203,.0085516078,-1.4662634,.1526479,22068,0,0,0
wstr,audit_accounting,AuditFee,2024,-.026863426913635,.0098580951,-2.7250118,.010474638,22068,1,1,1
wstr,capital_allocation,InvestIneff,2019,-.0082597551115664,.0060755471,-1.359508,.18379326,19209,0,0,0
wstr,capital_allocation,InvestIneff,2020,.0114679254032312,.0044257157,2.5912025,.014452467,19209,1,1,1
