exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wstr,first_stage,asset_trade_d,m2,-.0347957509415875,.01445573,-2.4070559,.016559146,23526,1,1,0
wstr,first_stage,asset_trade_d,m3,-.0799929118529362,.018246444,-4.3840275,.000015109891,23526,1,1,1
wstr,first_stage,asset_trade_d,p0,.0111524718204857,.020117506,.55436653,.57965499,23526,0,0,0
wstr,first_stage,asset_trade_d,p1,.0194574197360232,.023966413,.81186199,.41738042,23526,0,0,0
wstr,first_stage,asset_trade_d,p2,.0216027803779623,.027640803,.78155404,.43496466,23526,0,0,0
wstr,first_stage,asset_trade_d,p3,.0651759258099534,.034736905,1.8762734,.061386026,23526,1,0,0
wstr,first_stage,asset_trade_kw,m2,-.0093234748459853,.010202737,-.91382098,.3613919,23526,0,0,0
wstr,first_stage,asset_trade_kw,m3,-.0231446257245126,.014910541,-1.5522324,.12144124,23526,0,0,0
wstr,first_stage,asset_trade_kw,p0,.0428157924002864,.0068913577,6.2129693,1.3698925e-09,23526,1,1,1
wstr,first_stage,asset_trade_kw,p1,.0842900220497225,.015658312,5.3830848,1.2863460e-07,23526,1,1,1
wstr,first_stage,asset_trade_kw,p2,.098930555392173,.037508331,2.6375623,.0086942352,23526,1,1,1
wstr,first_stage,asset_trade_kw,p3,.1485207226290153,.02687786,5.5257645,6.1108402e-08,23526,1,1,1
wstr,first_stage,has_data_content,m2,.0457070876167179,.01335604,3.4222033,.00068888313,23524,1,1,1
wstr,first_stage,has_data_content,m3,.0926057104954667,.01909638,4.8493857,1.8109255e-06,23524,1,1,1
wstr,first_stage,has_data_content,p0,-.0433734037537688,.021656107,-2.0028255,.045907792,23524,1,1,0
wstr,first_stage,has_data_content,p1,-.0934230294928858,.021061342,-4.4357586,.000012039233,23524,1,1,1
wstr,first_stage,has_data_content,p2,-.1234024965830179,.012816619,-9.6283188,8.9688034e-20,23524,1,1,1
wstr,first_stage,has_data_content,p3,-.1889837585183279,.012613531,-14.982621,0,23524,1,1,1
wstr,first_stage,ln_n_paragraphs,m2,.1167786774072358,.050663061,2.3050063,.021705868,23524,1,1,0
wstr,first_stage,ln_n_paragraphs,m3,.2257105581440614,.050555997,4.4645653,.000010598572,23524,1,1,1
wstr,first_stage,ln_n_paragraphs,p0,-.1527023481529166,.081883401,-1.8648756,.06297151,23524,1,0,0
wstr,first_stage,ln_n_paragraphs,p1,-.431435970520026,.092071913,-4.6858587,3.8931189e-06,23524,1,1,1
wstr,first_stage,ln_n_paragraphs,p2,-.5247017065912449,.09554144,-5.4918756,7.3028041e-08,23524,1,1,1
wstr,first_stage,ln_n_paragraphs,p3,-.8261311454610168,.091318101,-9.0467405,7.7846240e-18,23524,1,1,1
wstr,first_stage,score1,m2,.1248352435793933,.036701441,3.4013717,.00074188208,23524,1,1,1
wstr,first_stage,score1,m3,.1042303039388326,.086016811,1.2117435,.22636554,23524,0,0,0
wstr,first_stage,score1,p0,-.154604475155221,.06168979,-2.5061598,.012623238,23524,1,1,0
wstr,first_stage,score1,p1,-.2833527803927416,.06876488,-4.1206031,.00004643901,23524,1,1,1
wstr,first_stage,score1,p2,-.3492231678928321,.094139576,-3.7096317,.00023860775,23524,1,1,1
