x_name,N,mean,sd,p25,median,p75,positives
HirePostsAll,37372,45.833538,273.52097,0,0,0,8841
DataHireBroadShare,37372,.070435494,.15235679,0,0,0,8138
DataHireTitleShare,37372,.0028097858,.021431873,0,0,0,2637
AIHireShare,37372,.0046502207,.029502649,0,0,0,3249
DataEngHireShare,37372,.0092281736,.043525439,0,0,0,4661
HCap_hire_title,43735,-.0009227313,.4866541,-.076781221,-.076781221,-.063200742,4111
HCap_hire_engineer,43735,-.0015378857,.48064911,-.10374022,-.10374022,-.063200742,5204
HCap_hire_posts,43735,-.0019772782,.55967897,-.15138498,-.15138498,-.063200742,5378
HCap_hire_broad,43735,-.00092272874,.49861163,-.14302184,-.14302184,-.063200742,8459
NHGap_hire_title,43735,.30366677,.46551141,.033265248,.35617265,.67702991,33607
NHWash_hire_title,43735,.38790444,.48727816,0,0,1,16965
NHHush_hire_title,43735,.1072139,.30938855,0,0,0,4689
NHVer_hire_title,43735,.11212987,.31552976,0,0,0,4904
NHWash_hire_title_s,43735,.19346061,.39501542,0,0,0,8461
NHHush_hire_title_s,43735,.051240426,.22049026,0,0,0,2241
NHVer_hire_title_s,43735,.053206813,.22444822,0,0,0,2327
NHGap_hire_engineer,43735,.29561871,.46920621,.019788325,.34777266,.6734255,33210
NHWash_hire_engineer,43735,.3832171,.48617604,0,0,1,16760
NHHush_hire_engineer,43735,.11290728,.31648305,0,0,0,4938
NHVer_hire_engineer,43735,.11681719,.321206,0,0,0,5109
NHGap_hire_posts,43735,.29521906,.46925396,.018055253,.34731323,.67311829,33183
NHWash_hire_posts,43735,.38289699,.48609906,0,0,1,16746
NHHush_hire_posts,43735,.11313593,.31676251,0,0,0,4948
NHVer_hire_posts,43735,.11713731,.3215875,0,0,0,5123
NHGap_hire_broad,43735,.28295067,.47436759,0,.33391342,.66605222,32647
