exposure,N,mean,sd,p25,median,p75,positives
PreGap1617,2851,.34408188,.42977089,.11183217,.38535503,.67357326,2328
PreHighGap1617,2851,.83830237,.36823779,1,1,1,2390
PreWashShare1617,2851,.41178533,.45981079,0,0,1,1350
PreWashAny1617,2851,.47351807,.4993858,0,0,1,1350
PreWashMaj1617,2851,.47351807,.4993858,0,0,1,1350
PreStrictWashAny1617,2851,.24061732,.42753333,0,0,0,686
PreHardCap1617,2851,.0064816391,.54070187,-.063200742,-.063200742,-.063200742,192
PreDU1617,2851,.92572409,1.5200839,.19240852,.41898337,.89609677,2784
