policy,treatment,y_name,spec,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
dataip,dip_wmaj,HardCap_direct_v1,firm_yearFE_provclu,.006848547139328,.018033653,.37976483,.70670938,22096,2563,0,0,0
dataip,dip_wmaj,NarrHardGap_direct_v1,firm_yearFE_provclu,-.0829954925174026,.0047329874,-17.53554,1.2032056e-17,22096,2563,1,1,1
dataip,dip_wmaj,NarrHardHushing_direct_v1,firm_yearFE_provclu,-.0055441292255102,.0063732872,-.86990106,.39104062,22096,2563,0,0,0
dataip,dip_wmaj,NarrHardVerified_direct_v1,firm_yearFE_provclu,.0276662566384738,.0057334793,4.825387,.000035407953,22096,2563,1,1,1
dataip,dip_wmaj,NarrHardWashing_direct_v1,firm_yearFE_provclu,-.1922205467022591,.012098708,-15.887691,1.9044609e-16,22096,2563,1,1,1
dataip,dip_wstr,DU_kw,firm_yearFE_provclu,.2707954253769133,.076296248,3.5492628,.0012554176,22096,1365,1,1,1
dataip,dip_wstr,HardCap_direct_v1,firm_yearFE_provclu,-.0101689091032555,.0086870082,-1.1705881,.25068468,22096,1365,0,0,0
dataip,dip_wstr,NarrHardGap_direct_v1,firm_yearFE_provclu,-.0498213757988851,.0043228851,-11.525029,9.7374409e-13,22096,1365,1,1,1
dataip,dip_wstr,NarrHardHushing_direct_v1,firm_yearFE_provclu,-.0165785898140469,.0058132955,-2.8518403,.0076695178,22096,1365,1,1,1
dataip,dip_wstr,NarrHardVerified_direct_v1,firm_yearFE_provclu,.0227291615170505,.007456183,3.0483642,.0046767392,22096,1365,1,1,1
dataip,dip_wstr,NarrHardWashing_direct_v1,firm_yearFE_provclu,-.0709863231521426,.0086363088,-8.2195215,2.7708786e-09,22096,1365,1,1,1
