exposure,y_name,pretrend_p,N,pass_10,pass_05
wany17,DU_kw,.560674318683391,64591,1,1
wstr17,DU_kw,.391914462965836,64591,1,1
wany17,NarrHardGap_direct_v1,.0071844462242017,64591,0,0
wstr17,NarrHardGap_direct_v1,.0001743910505335,64591,0,0
wany17,NarrHardWashing_direct_v1,7.58518396481e-06,64591,0,0
wstr17,NarrHardWashing_direct_v1,.0003223893323894,64591,0,0
wany17,TobinQ,.0095423232187161,64591,0,0
wstr17,TobinQ,.0005171870372977,64591,0,0
wany17,asset_trade_kw,.2248037925541697,64587,1,1
wstr17,asset_trade_kw,.0218129424857989,64587,0,0
wany17,strict_at_kw,.0347756207474191,64587,0,0
wstr17,strict_at_kw,.0000873960446301,64587,0,0
