exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
gap17,analyst_info,Analyst,m2,.1258067797096318,.022608072,5.5646844,5.1002658e-08,19222,1,1,1
gap17,analyst_info,Analyst,m3,.193935747773827,.053251129,3.6419086,.00030987588,19222,1,1,1
gap17,analyst_info,Analyst,p0,-.0759725190874383,.031245517,-2.4314694,.015519566,19222,1,1,0
gap17,analyst_info,Analyst,p1,-.0024908325851484,.062994294,-.039540604,.96848106,19222,0,0,0
gap17,analyst_info,Analyst,p2,.0037905157545932,.067308642,.056315441,.9551214,19222,0,0,0
gap17,analyst_info,Analyst,p3,-.0612934124405576,.080606088,-.76040673,.44750378,19222,0,0,0
gap17,analyst_info,RatingDisp,m2,.039588055748894,.023147918,1.7102209,.088269345,10048,1,0,0
gap17,analyst_info,RatingDisp,m3,.037897684879936,.01866783,2.0301065,.043236725,10048,1,1,0
gap17,analyst_info,RatingDisp,p0,.0482394207743545,.038792644,1.2435198,.21465701,10048,0,0,0
gap17,analyst_info,RatingDisp,p1,.0576424173265739,.030442487,1.8934858,.059265085,10048,1,0,0
gap17,analyst_info,RatingDisp,p2,.0567438844175179,.019487558,2.9118006,.0038658241,10048,1,1,1
gap17,analyst_info,RatingDisp,p3,.0471462075759176,.019136593,2.4636679,.014319018,10048,1,1,0
gap17,analyst_info,ReportFreq,m2,-.0565003702448119,.057377227,-.98471767,.32554072,10578,0,0,0
gap17,analyst_info,ReportFreq,m3,.0043418796082666,.073231786,.059289552,.95276016,10578,0,0,0
gap17,analyst_info,ReportFreq,p0,.0922850065381629,.066476509,1.3882349,.16607535,10578,0,0,0
gap17,analyst_info,ReportFreq,p1,.1396553424736279,.064539559,2.1638718,.031247718,10578,1,1,0
gap17,analyst_info,ReportFreq,p2,.1015531074230037,.066723526,1.5219984,.12904215,10578,0,0,0
gap17,analyst_info,ReportFreq,p3,-.0570542794519795,.0716445,-.79635257,.42644453,10578,0,0,0
gap17,audit_accounting,AuditFee,m2,.0126594158317769,.0080822026,1.5663325,.11813971,19195,0,0,0
gap17,audit_accounting,AuditFee,m3,.0097664373733382,.0094210505,1.0366611,.30058196,19195,0,0,0
gap17,audit_accounting,AuditFee,p0,-.0015433493210275,.010291372,-.14996536,.88087499,19195,0,0,0
gap17,audit_accounting,AuditFee,p1,-.0079214784872556,.013887007,-.57042378,.56874228,19195,0,0,0
