spec,x_name,y_name,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
industry_year_fe,dx_wany17,asset_trade_kw,.0134710551243768,.01487702,.90549415,.36580262,19200,0,0,0
province_year_fe,dx_wany17,asset_trade_kw,.0423002522591529,.015745988,2.6864145,.0075533837,19222,1,1,1
no_launch_year,dx_wany17_nolaunch,asset_trade_kw,.0450924627695843,.018136553,2.4862752,.013356554,19222,1,1,0
baseline,dx_wstr17,asset_trade_kw,.0955796517440098,.026922802,3.5501378,.00043553335,19222,1,1,1
city_linear_trend,dx_wstr17,asset_trade_kw,.0902338565535575,.025438694,3.5471103,.00044039855,19222,1,1,1
drop_2024_cohort,dx_wstr17,asset_trade_kw,.0963703007563304,.027036374,3.5644684,.00041360024,18888,1,1,1
industry_year_fe,dx_wstr17,asset_trade_kw,.0327200643345838,.020856591,1.5688117,.11756069,19200,0,0,0
province_year_fe,dx_wstr17,asset_trade_kw,.0914441996439373,.02580674,3.5434232,.00044639251,19222,1,1,1
no_launch_year,dx_wstr17_nolaunch,asset_trade_kw,.0987863025849899,.032429948,3.0461442,.002486981,19222,1,1,1
baseline,dx_wany17,strict_at_kw,.016369781671781,.0059511056,2.7507129,.0062436932,19222,1,1,1
city_linear_trend,dx_wany17,strict_at_kw,.01624841270979,.0056072576,2.8977468,.003986015,19222,1,1,1
drop_2024_cohort,dx_wany17,strict_at_kw,.01647644345745,.0060030906,2.7446601,.0063601066,18888,1,1,1
industry_year_fe,dx_wany17,strict_at_kw,.0069533359307455,.0050781574,1.3692635,.17176114,19200,0,0,0
province_year_fe,dx_wany17,strict_at_kw,.0161512402286253,.0057764971,2.7960267,.0054479544,19222,1,1,1
no_launch_year,dx_wany17_nolaunch,strict_at_kw,.0161211546330471,.0074658366,2.1593232,.031477809,19222,1,1,0
baseline,dx_wstr17,strict_at_kw,.0323310447387176,.0091638621,3.5281024,.00047212731,19222,1,1,1
city_linear_trend,dx_wstr17,strict_at_kw,.0306713243470495,.0086331712,3.5527298,.00043140803,19222,1,1,1
drop_2024_cohort,dx_wstr17,strict_at_kw,.0326562098105586,.0091937063,3.5520182,.00043297137,18888,1,1,1
industry_year_fe,dx_wstr17,strict_at_kw,.0131527823319491,.006643224,1.9798794,.048469886,19200,1,1,0
province_year_fe,dx_wstr17,strict_at_kw,.0311962812181664,.0088779703,3.5138977,.00049722299,19222,1,1,1
no_launch_year,dx_wstr17_nolaunch,strict_at_kw,.0319275005373402,.012841489,2.4862771,.013356486,19222,1,1,0
