category,left_var,right_var,N,rho
hardcap_score,HCap_hire_broad,HardCap_direct_v1,43735,.93192226
hardcap_score,HCap_hire_engineer,HardCap_direct_amt,43735,.76818466
hardcap_score,HCap_hire_engineer,HardCap_direct_patent_human,43735,.64980555
hardcap_score,HCap_hire_engineer,HardCap_direct_v1,43735,.86604768
hardcap_score,HCap_hire_posts,HardCap_direct_amt,43735,.76369601
hardcap_score,HCap_hire_posts,HardCap_direct_patent_human,43735,.62675923
hardcap_score,HCap_hire_posts,HardCap_direct_v1,43735,.78908443
hardcap_score,HCap_hire_title,HardCap_direct_amt,43735,.77841502
hardcap_score,HCap_hire_title,HardCap_direct_patent_human,43735,.67941755
hardcap_score,HCap_hire_title,HardCap_direct_v1,43735,.91738611
within_hiring,HCap_hire_engineer,HCap_hire_posts,43735,.84349155
within_hiring,HCap_hire_title,HCap_hire_broad,43735,.91199911
within_hiring,HCap_hire_title,HCap_hire_engineer,43735,.89747858
within_hiring,HCap_hire_title,HCap_hire_posts,43735,.8113929
within_hiring,NHGap_hire_title,NHGap_hire_broad,43735,.95524997
within_hiring,NHGap_hire_title,NHGap_hire_engineer,43735,.97793996
within_hiring,NHGap_hire_title,NHGap_hire_posts,43735,.9803893
within_hiring,NHWash_hire_title,NHWash_hire_engineer,43735,.98880452
within_hiring,NHWash_hire_title,NHWash_hire_posts,43735,.98948544
x_vs_direct,NHGap_hire_broad,NarrHardGap_direct_v1,43735,.94467533
x_vs_direct,NHGap_hire_engineer,NarrHardGap_direct_v1,43735,.96654159
x_vs_direct,NHGap_hire_posts,NarrHardGap_direct_v1,43735,.96629512
x_vs_direct,NHGap_hire_title,NarrHardGap_direct_v1,43735,.98379666
x_vs_direct,NHHush_hire_engineer,NarrHardHushing_direct_v1,43735,.95311248
x_vs_direct,NHHush_hire_posts,NarrHardHushing_direct_v1,43735,.95202476
x_vs_direct,NHHush_hire_title,NarrHardHushing_direct_v1,43735,.97860366
x_vs_direct,NHHush_hire_title_s,NHHush_direct_v1_s,43735,.96701097
x_vs_direct,NHVer_hire_engineer,NarrHardVerified_direct_v1,43735,.96190006
x_vs_direct,NHVer_hire_posts,NarrHardVerified_direct_v1,43735,.9606365
x_vs_direct,NHVer_hire_title,NarrHardVerified_direct_v1,43735,.98257095
x_vs_direct,NHVer_hire_title_s,NHVer_direct_v1_s,43735,.96610022
x_vs_direct,NHWash_hire_engineer,NarrHardWashing_direct_v1,43735,.98371482
x_vs_direct,NHWash_hire_posts,NarrHardWashing_direct_v1,43735,.98314375
x_vs_direct,NHWash_hire_title,NarrHardWashing_direct_v1,43735,.99274772
x_vs_direct,NHWash_hire_title_s,NHWash_direct_v1_s,43735,.99481016
