y_name,dropped_city,dropped_city_id,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
NarrHardWashing_direct_v1,深圳,263,-.1339094371567751,.014712623,-9.1016693,6.0128363e-18,17785,1,1,1
NarrHardWashing_direct_v1,福州,303,-.1205109341493556,.018262286,-6.5988965,1.4693081e-10,18997,1,1,1
NarrHardWashing_direct_v1,苏州,316,-.1192439999292209,.018249452,-6.5341139,2.1671859e-10,18897,1,1,1
NarrHardWashing_direct_v1,贵阳,341,-.1188157894027766,.018003281,-6.5996742,1.4624446e-10,19132,1,1,1
NarrHardWashing_direct_v1,郑州,359,-.1200258158901036,.018062055,-6.6451917,1.1110612e-10,19081,1,1,1
NarrHardWashing_direct_v1,重庆,366,-.117003752599086,.018167976,-6.4401088,3.7896167e-10,18946,1,1,1
NarrHardWashing_direct_v1,长春,378,-.1200386811690788,.018126054,-6.6224389,1.2748819e-10,19078,1,1,1
NarrHardWashing_direct_v1,长沙,379,-.1146636712059397,.017869297,-6.4167981,4.3488024e-10,18932,1,1,1
TobinQ,上海,6,.0540645522600312,.042747211,1.2647504,.20677219,17762,0,0,0
TobinQ,兰州,54,.0404828610152331,.038614418,1.0483872,.29515776,19109,0,0,0
TobinQ,北京,64,.008558133522934,.035037115,.24425907,.80716819,17493,0,0,0
TobinQ,南昌,72,.0529646172865202,.036287963,1.4595643,.14527465,19073,0,0,0
TobinQ,合肥,82,.0396504880668653,.038997468,1.0167452,.30995184,18979,0,0,0
TobinQ,呼和浩特,89,.0450137606646191,.037895661,1.1878341,.23567536,19180,0,0,0
TobinQ,天津,106,.0424729291612189,.039119996,1.0857089,.27832827,18924,0,0,0
TobinQ,太原,109,.0397891506036934,.038638279,1.0297858,.30379623,19132,0,0,0
TobinQ,广州,147,.0303643681424536,.03970753,.76470047,.44494674,18721,0,0,0
TobinQ,德阳,164,.0395725630989324,.038369745,1.0313481,.30306426,19215,0,0,0
TobinQ,无锡,188,.0416553074331712,.039013557,1.0677136,.28635925,19063,0,0,0
TobinQ,昆明,191,.0345426058866294,.038664546,.89339226,.37223905,19091,0,0,0
