exposure,N,mean,sd,p25,median,p75,positives
PreGap2123,4662,.25987279,.47142091,.013375163,.30948436,.63220191,3534
PreWashShare2123,4662,.36196911,.44372302,0,0,1,2056
PreWashAny2123,4662,.44101244,.49656153,0,0,1,2056
PreWashMaj2123,4662,.36078936,.48028103,0,0,1,1682
PreStrictWashAny2123,4662,.22629772,.41847894,0,0,0,1055
