方法,系数,标准误,t值,p值,显著性,N,一阶段F,AR_F,AR_p,DWH_F,DWH_p
OLS基准(同期),-0.003998568656446636,0.0010137203509500941,-3.944449426016788,8.500916250953061e-05,***,45296,,,,,
同行业均值IV,-0.010413720232413697,0.004502222849116582,-2.313017498557864,0.0209162573872943,**,45296,796.6743317558171,5.23065298496207,0.022392570803988487,0.000247058895556003,0.9874621110150033
Bartik IV,-0.01016837539951807,0.004192664690183516,-2.4252775146378314,0.015455673367462675,**,45296,3342.7974967862665,5.710923625668478,0.017026042272217268,0.2717121841010446,0.6022896951703025
OLS(DU_t-1),-0.0036491518038381057,0.0010752114804910516,-3.393892150567002,0.0007154205329888974,***,40326,,,,,
同行业均值IV(DU_t-1),-0.010580992175977457,0.005590583703256987,-1.8926453368032279,0.05872931512815982,*,35308,422.91996217902215,,,,
