sample,outcome,exposure,event,rel_year,coef,se_city_cluster,p,sig
nonfinancial,risk_chars_ln,private_highlev_pre,+1,1,0.15860696023845994,0.12656740614594064,0.2113017865339757,
nonfinancial,risk_chars_ln,private_highlev_pre,>=+2,2,0.24997760325470608,0.15658297916029912,0.1116258445934033,
all,risk_quality_index,high_lev_pre,<=-4,-4,0.010864756439989024,0.05385650541177215,0.8402845291100125,
all,risk_quality_index,high_lev_pre,-3,-3,0.005029654337512965,0.08619929955886012,0.9535162301420534,
all,risk_quality_index,high_lev_pre,-2,-2,-0.011425452299058024,0.042478797670122755,0.7881715255978861,
all,risk_quality_index,high_lev_pre,0,0,0.04660043247082813,0.03263344456439056,0.15451653751535543,
all,risk_quality_index,high_lev_pre,+1,1,0.07547558574862222,0.04641464119447218,0.10516014381811178,
all,risk_quality_index,high_lev_pre,>=+2,2,0.10172449739930452,0.051747540911641084,0.05040856443861985,*
nonfinancial,risk_quality_index,high_lev_pre,<=-4,-4,0.010864756439989024,0.05385650541177215,0.8402845291100125,
nonfinancial,risk_quality_index,high_lev_pre,-3,-3,0.005029654337512965,0.08619929955886012,0.9535162301420534,
nonfinancial,risk_quality_index,high_lev_pre,-2,-2,-0.011425452299058024,0.042478797670122755,0.7881715255978861,
nonfinancial,risk_quality_index,high_lev_pre,0,0,0.04660043247082813,0.03263344456439056,0.15451653751535543,
nonfinancial,risk_quality_index,high_lev_pre,+1,1,0.07547558574862222,0.04641464119447218,0.10516014381811178,
nonfinancial,risk_quality_index,high_lev_pre,>=+2,2,0.10172449739930452,0.051747540911641084,0.05040856443861985,*
all,has_risk_text,failure_cost_pre,<=-4,-4,0.012356488315649455,0.06359443715831899,0.8460945883448208,
all,has_risk_text,failure_cost_pre,-3,-3,0.0026943505716980534,0.024079048400635128,0.9109938516806007,
all,has_risk_text,failure_cost_pre,-2,-2,0.01683521065633034,0.04285180011409867,0.6947433091976842,
all,has_risk_text,failure_cost_pre,0,0,0.10934584361981206,0.029624592270026184,0.0002730911446831019,***
all,has_risk_text,failure_cost_pre,+1,1,0.07906585060269745,0.022903473965330302,0.0006509189894752243,***
all,has_risk_text,failure_cost_pre,>=+2,2,0.05178794456741931,0.05138086773725984,0.3144470073632226,
nonfinancial,has_risk_text,failure_cost_pre,<=-4,-4,0.012356488315649455,0.06359443715831899,0.8460945883448208,
nonfinancial,has_risk_text,failure_cost_pre,-3,-3,0.0026943505716980534,0.024079048400635128,0.9109938516806007,
nonfinancial,has_risk_text,failure_cost_pre,-2,-2,0.01683521065633034,0.04285180011409867,0.6947433091976842,
nonfinancial,has_risk_text,failure_cost_pre,0,0,0.10934584361981206,0.029624592270026184,0.0002730911446831019,***
nonfinancial,has_risk_text,failure_cost_pre,+1,1,0.07906585060269745,0.022903473965330302,0.0006509189894752243,***
nonfinancial,has_risk_text,failure_cost_pre,>=+2,2,0.05178794456741931,0.05138086773725984,0.3144470073632226,
all,has_risk_text,natural_pre,<=-4,-4,0.012882001993693923,0.04290011890161546,0.7642090522912226,
all,has_risk_text,natural_pre,-3,-3,-0.005922362140374981,0.028262720769852527,0.834188732864833,
all,has_risk_text,natural_pre,-2,-2,0.02199889091944404,0.02402296386241772,0.3606662226795472,
all,has_risk_text,natural_pre,0,0,0.057696890976098064,0.02171511114063244,0.008381710225025651,***
all,has_risk_text,natural_pre,+1,1,0.04540483467318368,0.02100808652157765,0.03160296832945031,**
all,has_risk_text,natural_pre,>=+2,2,0.05285914102234786,0.04927323357728013,0.28438581455343215,
nonfinancial,has_risk_text,natural_pre,<=-4,-4,0.012882001993693923,0.04290011890161546,0.7642090522912226,
nonfinancial,has_risk_text,natural_pre,-3,-3,-0.005922362140374981,0.028262720769852527,0.834188732864833,
nonfinancial,has_risk_text,natural_pre,-2,-2,0.02199889091944404,0.02402296386241772,0.3606662226795472,
nonfinancial,has_risk_text,natural_pre,0,0,0.057696890976098064,0.02171511114063244,0.008381710225025651,***
nonfinancial,has_risk_text,natural_pre,+1,1,0.04540483467318368,0.02100808652157765,0.03160296832945031,**
nonfinancial,has_risk_text,natural_pre,>=+2,2,0.05285914102234786,0.04927323357728013,0.28438581455343215,
