sample,outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign
nonfinancial,risk_specificity_index,natural_highlev_pre,main_fe,ok,0.015354005422869877,0.035146376937103437,0.43685883897355327,0.6625834200891105,,26541,400,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,natural_highlev_pre,plus_exposure_group_year_fe,ok,-0.008420192233707671,0.03750227907116722,-0.22452481401807248,0.8225287631542841,,26541,400,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,private_highlev_pre,main_fe,ok,0.027860844604797215,0.03278229222511989,0.8498748169735505,0.3961919127656035,,26541,410,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,private_highlev_pre,plus_exposure_group_year_fe,ok,0.0088864417110245,0.03642075170145771,0.24399391269754672,0.8074317269403433,,26541,410,406,-0.0117264300983227,1
nonfinancial,risk_chars_ln,natural_pre,main_fe,ok,0.19282110790081786,0.12563559353493484,1.5347649696676213,0.12608134311011376,,26541,997,406,5.131732949998318,1
nonfinancial,risk_chars_ln,natural_pre,plus_exposure_group_year_fe,ok,0.028135869952114808,0.13631302862668107,0.20640631519654803,0.8366382445368541,,26541,997,406,5.131732949998318,1
nonfinancial,risk_chars_ln,failure_cost_pre,main_fe,ok,0.33362045679108204,0.22588026545994586,1.4769792133533737,0.14091511618433716,,26541,1210,406,5.131732949998318,1
nonfinancial,risk_chars_ln,failure_cost_pre,plus_exposure_group_year_fe,ok,0.1783816394466933,0.22407567876478093,0.7960776485427762,0.4267273718295006,,26541,1210,406,5.131732949998318,1
nonfinancial,risk_chars_ln,private_pre,main_fe,ok,0.2132103682709163,0.08968224473596918,2.3773977658411938,0.018173340760413437,**,26541,972,406,5.131732949998318,1
nonfinancial,risk_chars_ln,private_pre,plus_exposure_group_year_fe,ok,0.08080151004801542,0.10636251372240924,0.7596803349241601,0.44814741722182383,,26541,972,406,5.131732949998318,1
nonfinancial,risk_chars_ln,high_lev_pre,main_fe,ok,0.10945978733322012,0.09128449430166923,1.199106027486845,0.23159978536828474,,26541,595,406,5.131732949998318,1
nonfinancial,risk_chars_ln,high_lev_pre,plus_exposure_group_year_fe,ok,0.07731046316388993,0.10202405020012312,0.7577670462233486,0.4492901446581319,,26541,595,406,5.131732949998318,1
nonfinancial,risk_chars_ln,natural_highlev_pre,main_fe,ok,0.1676364992702955,0.11954690672018405,1.4022654694250831,0.16205216126828814,,26541,400,406,5.131732949998318,1
nonfinancial,risk_chars_ln,natural_highlev_pre,plus_exposure_group_year_fe,ok,0.05278349214423874,0.1222535372900855,0.43175431414301796,0.6662848114628184,,26541,400,406,5.131732949998318,1
nonfinancial,risk_chars_ln,private_highlev_pre,main_fe,ok,0.24250680120501164,0.10838833754428676,2.237388327004508,0.026125256632304472,**,26541,410,406,5.131732949998318,1
nonfinancial,risk_chars_ln,private_highlev_pre,plus_exposure_group_year_fe,ok,0.13206746519019621,0.1157348530067255,1.1411209480909057,0.2548901067975873,,26541,410,406,5.131732949998318,1
nonfinancial,risk_detail_per10k,natural_pre,main_fe,ok,4.522709591736632,18.56688196061451,0.24359015161137718,0.8077441072053877,,26541,997,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,natural_pre,plus_exposure_group_year_fe,ok,-2.249447582070906,19.080156604889897,-0.11789460792446607,0.9062439756291025,,26541,997,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,failure_cost_pre,main_fe,ok,12.386802565882261,27.208253969557358,0.45525900264462205,0.649310298699695,,26541,1210,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,failure_cost_pre,plus_exposure_group_year_fe,ok,11.984360580578455,26.146895999452205,0.4583473533848735,0.6470932780236467,,26541,1210,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,private_pre,main_fe,ok,-1.7427091497807885,13.30756865261651,-0.13095623966126527,0.8959131797282964,,26541,972,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,private_pre,plus_exposure_group_year_fe,ok,-8.324474806463224,14.605131354946833,-0.5699691844020068,0.5692004059086795,,26541,972,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,high_lev_pre,main_fe,ok,18.839433706862376,16.692654623854818,1.1286062122162213,0.26012465803079454,,26541,595,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,high_lev_pre,plus_exposure_group_year_fe,ok,19.68634519838602,17.236327709873937,1.1421426611138623,0.25446603054542427,,26541,595,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,natural_highlev_pre,main_fe,ok,7.722731617453284,18.904526294135227,0.40851230532283245,0.6832404362338145,,26541,400,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,natural_highlev_pre,plus_exposure_group_year_fe,ok,5.965019507336364,19.545924281819836,0.3051797101702978,0.7604782366282039,,26541,400,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,private_highlev_pre,main_fe,ok,11.832340521150865,18.310796401008737,0.6461947510103397,0.5187343610673243,,26541,410,406,346.9243290147497,1
nonfinancial,risk_detail_per10k,private_highlev_pre,plus_exposure_group_year_fe,ok,11.304963584884256,18.915384185821488,0.5976597394917403,0.5505973678388267,,26541,410,406,346.9243290147497,1
nonfinancial,risk_category_count,natural_pre,main_fe,ok,-0.06204623729990416,0.07476215534314175,-0.8299150421108871,0.40736308336227567,,26541,997,406,2.562978033985155,1
nonfinancial,risk_category_count,natural_pre,plus_exposure_group_year_fe,ok,-0.19880603402190117,0.09378787132945059,-2.1197414036997504,0.03499411186940171,**,26541,997,406,2.562978033985155,1
nonfinancial,risk_category_count,failure_cost_pre,main_fe,ok,0.04675577685718451,0.14953463509547513,0.31267523291397875,0.7547829680784512,,26541,1210,406,2.562978033985155,1
nonfinancial,risk_category_count,failure_cost_pre,plus_exposure_group_year_fe,ok,0.019182663288058097,0.14812181093840207,0.12950600027456724,0.8970593701470271,,26541,1210,406,2.562978033985155,1
nonfinancial,risk_category_count,private_pre,main_fe,ok,0.018700051034393574,0.05174541149511466,0.3613856860749685,0.718110389163245,,26541,972,406,2.562978033985155,1
nonfinancial,risk_category_count,private_pre,plus_exposure_group_year_fe,ok,-0.09555865162110873,0.08686989644534329,-1.1000203238555972,0.2723606383549133,,26541,972,406,2.562978033985155,1
nonfinancial,risk_category_count,high_lev_pre,main_fe,ok,0.04655507325509561,0.11072530891697983,0.42045557344077406,0.6745067736296417,,26541,595,406,2.562978033985155,1
nonfinancial,risk_category_count,high_lev_pre,plus_exposure_group_year_fe,ok,0.07020444479867836,0.10752967071825709,0.6528844023211409,0.5144189790618703,,26541,595,406,2.562978033985155,1
nonfinancial,risk_category_count,natural_highlev_pre,main_fe,ok,-0.011772240555078107,0.17126983593261658,-0.0687350489417746,0.9452543863643434,,26541,400,406,2.562978033985155,1
nonfinancial,risk_category_count,natural_highlev_pre,plus_exposure_group_year_fe,ok,-0.04362790399497683,0.16627933137757714,-0.26237719164211215,0.7932424940519107,,26541,400,406,2.562978033985155,1
