sample,outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign,coef_strict,p_strict,sig_strict,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p,decision,note
all,risk_quality_index,natural_pre,main_fe,ok,-0.028084852157127915,0.033243919483366954,-0.8448117007135608,0.3990079014742087,,26541,997,406,-0.01877951288985768,1,-0.06612164050061504,0.06995607252735736,*,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_quality_index,failure_cost_pre,main_fe,ok,0.035886207978254724,0.062201105327728545,0.5769384288136928,0.5644900162951445,,26541,1210,406,-0.01877951288985768,1,0.007147625928900125,0.9150156555101261,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_quality_index,private_pre,main_fe,ok,-0.027264344381624884,0.025116443748213264,-1.0855177052509442,0.27871756402485404,,26541,972,406,-0.01877951288985768,1,-0.058721264411563175,0.07605803473300843,*,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_quality_index,high_lev_pre,main_fe,ok,0.06732632713418216,0.033116642993676615,2.0330057955160985,0.04308779397334206,**,26541,595,406,-0.01877951288985768,1,0.062178794586857884,0.08131448617891746,*,0.9438882495269764,0.8908964131140799,0.04660043247082813,0.15451653751535543,0.07547558574862222,0.10516014381811178,0.10172449739930452,0.05040856443861985,candidate,主规格、严格趋势控制和近端前趋势同时过关。
all,risk_quality_index,natural_highlev_pre,main_fe,ok,0.02357115621397878,0.04430698977127649,0.5319963359203332,0.595191716240417,,26541,400,406,-0.01877951288985768,1,-0.0067674164857718455,0.8783196437718579,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_quality_index,private_highlev_pre,main_fe,ok,0.04169937849940155,0.04076375030859925,1.0229524561336774,0.3072997866325804,,26541,410,406,-0.01877951288985768,1,0.01783405643376662,0.680656036826508,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_specificity_index,natural_pre,main_fe,ok,-0.039788341967845656,0.03840987325625269,-1.0358883952153777,0.3012355461548504,,26541,997,406,-0.0117264300983227,1,-0.06452832594126143,0.10547273826541592,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_specificity_index,failure_cost_pre,main_fe,ok,0.02206970056864407,0.06151867770383899,0.35874796716033513,0.7200804821979738,,26541,1210,406,-0.0117264300983227,1,0.008992615884169917,0.8906395414695831,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_specificity_index,private_pre,main_fe,ok,-0.04758396610483204,0.03170403701030461,-1.5008803481198956,0.1346236777947769,,26541,972,406,-0.0117264300983227,1,-0.06787315167986105,0.058069759757637396,*,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_specificity_index,high_lev_pre,main_fe,ok,0.07812482291708223,0.02842446832650382,2.7485060413332807,0.006414521387628103,***,26541,595,406,-0.0117264300983227,1,0.07372373890715707,0.02553304168686643,**,0.8452973569903937,0.70201857666719,0.043005707389111414,0.10807910041426161,0.07878801589336577,0.004275575431466061,0.10755967705619979,0.046471186466199965,candidate,主规格、严格趋势控制和近端前趋势同时过关。
all,risk_specificity_index,natural_highlev_pre,main_fe,ok,0.015354005422869877,0.035146376937103437,0.43685883897355327,0.6625834200891105,,26541,400,406,-0.0117264300983227,1,-0.008420192233707671,0.8225287631542841,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_specificity_index,private_highlev_pre,main_fe,ok,0.027860844604797215,0.03278229222511989,0.8498748169735505,0.3961919127656035,,26541,410,406,-0.0117264300983227,1,0.0088864417110245,0.8074317269403433,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_chars_ln,natural_pre,main_fe,ok,0.19282110790081786,0.12563559353493484,1.5347649696676213,0.12608134311011376,,26541,997,406,5.131732949998318,1,0.028135869952114808,0.8366382445368541,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_chars_ln,failure_cost_pre,main_fe,ok,0.33362045679108204,0.22588026545994586,1.4769792133533737,0.14091511618433716,,26541,1210,406,5.131732949998318,1,0.1783816394466933,0.4267273718295006,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_chars_ln,private_pre,main_fe,ok,0.2132103682709163,0.08968224473596918,2.3773977658411938,0.018173340760413437,**,26541,972,406,5.131732949998318,1,0.08080151004801542,0.44814741722182383,,0.38753780528715887,0.5514530783123817,0.39766835170717507,0.004001665358899675,0.2637836214786888,0.07972720091379437,0.12207549375492842,0.6790662758416803,fragile_candidate,主规格和近端前趋势可用，但严格趋势控制未稳住。
all,risk_chars_ln,high_lev_pre,main_fe,ok,0.10945978733322012,0.09128449430166923,1.199106027486845,0.23159978536828474,,26541,595,406,5.131732949998318,1,0.07731046316388993,0.4492901446581319,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_chars_ln,natural_highlev_pre,main_fe,ok,0.1676364992702955,0.11954690672018405,1.4022654694250831,0.16205216126828814,,26541,400,406,5.131732949998318,1,0.05278349214423874,0.6662848114628184,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_chars_ln,private_highlev_pre,main_fe,ok,0.24250680120501164,0.10838833754428676,2.237388327004508,0.026125256632304472,**,26541,410,406,5.131732949998318,1,0.13206746519019621,0.2548901067975873,,0.6382228807033072,0.7761008195137428,0.3714815250815929,1.5511072879448307e-06,0.15860696023845994,0.2113017865339757,0.24997760325470608,0.1116258445934033,fragile_candidate,主规格和近端前趋势可用，但严格趋势控制未稳住。
all,risk_detail_per10k,natural_pre,main_fe,ok,4.522709591736632,18.56688196061451,0.24359015161137718,0.8077441072053877,,26541,997,406,346.9243290147497,1,-2.249447582070906,0.9062439756291025,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_detail_per10k,failure_cost_pre,main_fe,ok,12.386802565882261,27.208253969557358,0.45525900264462205,0.649310298699695,,26541,1210,406,346.9243290147497,1,11.984360580578455,0.6470932780236467,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_detail_per10k,private_pre,main_fe,ok,-1.7427091497807885,13.30756865261651,-0.13095623966126527,0.8959131797282964,,26541,972,406,346.9243290147497,1,-8.324474806463224,0.5692004059086795,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_detail_per10k,high_lev_pre,main_fe,ok,18.839433706862376,16.692654623854818,1.1286062122162213,0.26012465803079454,,26541,595,406,346.9243290147497,1,19.68634519838602,0.25446603054542427,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_detail_per10k,natural_highlev_pre,main_fe,ok,7.722731617453284,18.904526294135227,0.40851230532283245,0.6832404362338145,,26541,400,406,346.9243290147497,1,5.965019507336364,0.7604782366282039,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_detail_per10k,private_highlev_pre,main_fe,ok,11.832340521150865,18.310796401008737,0.6461947510103397,0.5187343610673243,,26541,410,406,346.9243290147497,1,11.304963584884256,0.5505973678388267,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_category_count,natural_pre,main_fe,ok,-0.06204623729990416,0.07476215534314175,-0.8299150421108871,0.40736308336227567,,26541,997,406,2.562978033985155,1,-0.19880603402190117,0.03499411186940171,**,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_category_count,failure_cost_pre,main_fe,ok,0.04675577685718451,0.14953463509547513,0.31267523291397875,0.7547829680784512,,26541,1210,406,2.562978033985155,1,0.019182663288058097,0.8970593701470271,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_category_count,private_pre,main_fe,ok,0.018700051034393574,0.05174541149511466,0.3613856860749685,0.718110389163245,,26541,972,406,2.562978033985155,1,-0.09555865162110873,0.2723606383549133,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_category_count,high_lev_pre,main_fe,ok,0.04655507325509561,0.11072530891697983,0.42045557344077406,0.6745067736296417,,26541,595,406,2.562978033985155,1,0.07020444479867836,0.5144189790618703,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
all,risk_category_count,natural_highlev_pre,main_fe,ok,-0.011772240555078107,0.17126983593261658,-0.0687350489417746,0.9452543863643434,,26541,400,406,2.562978033985155,1,-0.04362790399497683,0.7932424940519107,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
