sample,outcome,exposure,event,rel_year,coef,se_city_cluster,p,sig
all,risk_debt_per10k,natural_pre,<=-4,-4,0.12755088717789737,1.0840466085581444,0.906428251119985,
all,risk_debt_per10k,natural_pre,-3,-3,-2.258568828685879,2.1023473132655406,0.2837000982878157,
all,risk_debt_per10k,natural_pre,-2,-2,-1.4886940688299377,2.5687047538874825,0.5627294522480462,
all,risk_debt_per10k,natural_pre,0,0,2.1327804592254402,1.7394726947192434,0.22128929228519767,
all,risk_debt_per10k,natural_pre,+1,1,-0.18564608388242365,1.2763216510153081,0.8844673426009462,
all,risk_debt_per10k,natural_pre,>=+2,2,1.3542216192719934,0.8188939449403618,0.0994147961721743,*
all,risk_debt_per10k,failure_cost_pre,<=-4,-4,-0.44678658493625517,0.8285525395849185,0.5901934962522759,
all,risk_debt_per10k,failure_cost_pre,-3,-3,-2.157550670437944,3.1516272788262665,0.49422878266514125,
all,risk_debt_per10k,failure_cost_pre,-2,-2,-0.7788724529504659,2.9490951327825083,0.7919118900702005,
all,risk_debt_per10k,failure_cost_pre,0,0,2.527586767089237,2.31814780808492,0.27658932171686756,
all,risk_debt_per10k,failure_cost_pre,+1,1,0.8316646669581119,1.7289335785110092,0.630909401911603,
all,risk_debt_per10k,failure_cost_pre,>=+2,2,3.39260280221237,1.4140051167528018,0.017145403361590095,**
all,risk_debt_per10k,high_lev_pre,<=-4,-4,-0.17337663713327015,0.7628839638679983,0.8203999755528852,
all,risk_debt_per10k,high_lev_pre,-3,-3,0.022207805486219236,1.0109977941308324,0.982492075741503,
all,risk_debt_per10k,high_lev_pre,-2,-2,1.1893341455250903,1.0365434922975545,0.25229005855189257,
all,risk_debt_per10k,high_lev_pre,0,0,0.33142995242182555,0.3893156023617902,0.39539349607218277,
all,risk_debt_per10k,high_lev_pre,+1,1,1.7804433479082324,0.9690248712634261,0.06732095577381858,*
all,risk_debt_per10k,high_lev_pre,>=+2,2,3.1460029047065445,1.08878071588506,0.0041907958384599375,***
all,risk_debt_per10k,natural_highlev_pre,<=-4,-4,0.9727197508482731,0.5596762906701279,0.08341724174342224,*
all,risk_debt_per10k,natural_highlev_pre,-3,-3,-0.08882865260077705,1.598374955970783,0.9557244149270752,
all,risk_debt_per10k,natural_highlev_pre,-2,-2,0.8707701091398068,1.066304739444826,0.4149055361481824,
all,risk_debt_per10k,natural_highlev_pre,0,0,1.640841112972277,1.2205360763828708,0.18002637532088972,
all,risk_debt_per10k,natural_highlev_pre,+1,1,1.2641439454325134,1.7314857981379366,0.46600412066303165,
all,risk_debt_per10k,natural_highlev_pre,>=+2,2,3.529308304706964,1.1219066973746257,0.0018527548645277392,***
all,risk_debt_per10k,private_pre,<=-4,-4,-1.4530233448875052,0.5564427369635789,0.009555088110242638,***
all,risk_debt_per10k,private_pre,-3,-3,-1.9280549102517388,1.934362542813245,0.3198360125353319,
all,risk_debt_per10k,private_pre,-2,-2,-0.8454862854235469,2.188481646675404,0.6995710010958462,
all,risk_debt_per10k,private_pre,0,0,0.4727415245607888,0.7604990837470237,0.5347470238782832,
all,risk_debt_per10k,private_pre,+1,1,-1.4246258812430348,1.3081953483146116,0.2771815996215685,
