sample,outcome,exposure,status,n_input,clusters_city,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p
all,has_risk_text,private_pre,ok,26541,406,0.16706099047149134,0.20807827755726732,0.08147726796573383,0.0014894991067360142,0.06384175097194021,0.008258126674990374,0.04659560234827289,0.378905557534005
nonfinancial,has_risk_text,private_pre,ok,26541,406,0.16706099047149134,0.20807827755726732,0.08147726796573383,0.0014894991067360142,0.06384175097194021,0.008258126674990374,0.04659560234827289,0.378905557534005
all,has_risk_text,private_highlev_pre,ok,26541,406,0.49724911819313566,0.6729961949651426,0.06877162815200062,8.243279769892808e-08,0.04306795699762509,0.052501419584150666,0.053357836222241536,0.04067979128776722
nonfinancial,has_risk_text,private_highlev_pre,ok,26541,406,0.49724911819313566,0.6729961949651426,0.06877162815200062,8.243279769892808e-08,0.04306795699762509,0.052501419584150666,0.053357836222241536,0.04067979128776722
all,risk_specificity_index,high_lev_pre,ok,26541,406,0.8452973569903937,0.70201857666719,0.043005707389111414,0.10807910041426161,0.07878801589336577,0.004275575431466061,0.10755967705619979,0.046471186466199965
nonfinancial,risk_specificity_index,high_lev_pre,ok,26541,406,0.8452973569903937,0.70201857666719,0.043005707389111414,0.10807910041426161,0.07878801589336577,0.004275575431466061,0.10755967705619979,0.046471186466199965
all,risk_chars_ln,private_pre,ok,26541,406,0.38753780528715887,0.5514530783123817,0.39766835170717507,0.004001665358899675,0.2637836214786888,0.07972720091379437,0.12207549375492842,0.6790662758416803
nonfinancial,risk_chars_ln,private_pre,ok,26541,406,0.38753780528715887,0.5514530783123817,0.39766835170717507,0.004001665358899675,0.2637836214786888,0.07972720091379437,0.12207549375492842,0.6790662758416803
all,risk_chars_ln,private_highlev_pre,ok,26541,406,0.6382228807033072,0.7761008195137428,0.3714815250815929,1.5511072879448307e-06,0.15860696023845994,0.2113017865339757,0.24997760325470608,0.1116258445934033
nonfinancial,risk_chars_ln,private_highlev_pre,ok,26541,406,0.6382228807033072,0.7761008195137428,0.3714815250815929,1.5511072879448307e-06,0.15860696023845994,0.2113017865339757,0.24997760325470608,0.1116258445934033
all,risk_quality_index,high_lev_pre,ok,26541,406,0.9438882495269764,0.8908964131140799,0.04660043247082813,0.15451653751535543,0.07547558574862222,0.10516014381811178,0.10172449739930452,0.05040856443861985
nonfinancial,risk_quality_index,high_lev_pre,ok,26541,406,0.9438882495269764,0.8908964131140799,0.04660043247082813,0.15451653751535543,0.07547558574862222,0.10516014381811178,0.10172449739930452,0.05040856443861985
all,has_risk_text,failure_cost_pre,ok,26541,406,0.8832087796268749,0.5511516094751878,0.10934584361981206,0.0002730911446831019,0.07906585060269745,0.0006509189894752243,0.05178794456741931,0.3144470073632226
nonfinancial,has_risk_text,failure_cost_pre,ok,26541,406,0.8832087796268749,0.5511516094751878,0.10934584361981206,0.0002730911446831019,0.07906585060269745,0.0006509189894752243,0.05178794456741931,0.3144470073632226
all,has_risk_text,natural_pre,ok,26541,406,0.65092780199384,0.0823070487632845,0.057696890976098064,0.008381710225025651,0.04540483467318368,0.03160296832945031,0.05285914102234786,0.28438581455343215
nonfinancial,has_risk_text,natural_pre,ok,26541,406,0.65092780199384,0.0823070487632845,0.057696890976098064,0.008381710225025651,0.04540483467318368,0.03160296832945031,0.05285914102234786,0.28438581455343215
