Group,Coef,SE,t,p,Sig,N
国企,-0.0060100228288628415,0.0015043253739939852,-3.995161507451161,7.071597081487191e-05,***,14414
民企,-0.0033868153083176384,0.0008771153348360029,-3.8613112481391996,0.00012169194481348455,***,29371
高分析师,-0.005547446977646055,0.0009914811457921726,-5.595110911780135,2.996972070512527e-08,***,21838
低分析师,-0.0032909966975068973,0.0012862647501090474,-2.5585686750942154,0.010695291963848996,**,21459
高科技,-0.004360422819935399,0.0013740429927701333,-3.173425317023442,0.0023931875983376205,***,9525
传统,-0.004521678773998441,0.0014794844792420327,-3.0562529296116585,0.0023134363983392525,***,34050
