DV,Coef,SE,t,p,Sig,N,R2
Analyst,0.02552721683785241,0.009725630683553444,2.6247363968920068,0.008821112448168078,***,43847,0.7939680497116826
FinAsset,0.0008417728690361475,0.0003175421706240461,2.6509010358588374,0.008171156911819466,***,43847,0.6710184443816338
InstHold,-0.25183120601697123,0.07894233579457792,-3.190065298704628,0.0014724769265397342,***,43847,0.9160064779494926
