方法,coef,se,t,p,N,R2,KP_F,AR_F,AR_p,DWH_F,DWH_p
OLS基准,-0.004156834533124847,0.0009709279065633646,-4.281300913306857,2.061004318676396e-05,43847,0.42496054957466145,,,,,
Peer IV,-0.014612765269276849,0.004635428276076144,-3.152408881978527,0.001677689630112722,34055,,419.406981979994,10.314362882707192,0.001371014283975791,7.237714275180521,0.007282748855553356
Bartik IV,-0.01700012934274524,0.005031435652205606,-3.3787830189764976,0.0007629916547449156,33564,,75.0145081800045,11.7713903421311,0.0006320493772558056,8.822144423296393,0.0030642004451317817
OLS(t-1),-0.0036860042929408804,0.0014324856299713397,-2.5731527184776213,0.010254985783684,38569,,,,,,
IV(t-1),-0.016755468011779087,0.004649961477491265,-3.603356305828786,0.00033481844647464953,29377,,353.88157326206533,14.161873785826554,0.00018079343787502644,9.586067691062205,0.0020333780023575887
