Spec,coef,se,t,p,ci_lo,ci_hi,N
DML-27X,-0.00292819190122324,0.0004502564359245612,-6.5033871091935875,7.85313610669857e-11,-0.0038106782994427463,-0.0020457055030037334,35666
DML-27X-ln,-0.003970606679589682,0.0005521308845922335,-7.1914228861189375,6.411954552692275e-13,-0.0050527633281427006,-0.002888450031036663,35666
DML-27X-sub,-0.003926137955033024,0.0005444045335390491,-7.211802461507991,5.52160376624682e-13,-0.004993151233789888,-0.00285912467627616,35666
DML-27X-SYNCH,0.027647445427806925,0.0028638915065972432,9.653803352577581,4.736567528056278e-22,0.022034321219246176,0.03326056963636767,35614
