dimension,group_high,coef_high,t_high,n_high,group_low,coef_low,t_low,n_low,interaction_p,interaction_t
Post2022,2022-2024,-0.0017724096886596145,-0.8507189218548353,12240,2011-2021,-0.006577296775950544,-5.1338932714457775,24720,0.03072966493463558,2.16374283566427
Analyst_high,高分析师关注,-0.004762304210885219,-4.176750216935769,18912,低分析师关注,-0.0024786681002159252,-1.7517830613755694,17847,0.0005434068029752659,-3.470077371463506
MainBoard,主板公司,-0.0016792410764818594,-0.9757424199587799,15900,非主板公司,-0.004175388208423281,-4.011102868694886,21394,6.753644031798345e-05,4.00234889123812
