outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign
risk_verifiability_index,natural_pre,main_fe,ok,0.06730685968850626,0.05622076690169559,1.1971885727954437,0.2323448043476919,,26541,997,406,0.00042843997272751065,1
risk_verifiability_index,natural_pre,plus_exposure_group_year_fe,ok,0.03511541853800497,0.05733971652553203,0.6124100477959095,0.540812208428157,,26541,997,406,0.00042843997272751065,1
risk_verifiability_index,failure_cost_pre,main_fe,ok,0.12191344228259705,0.05314491291280818,2.293981410461872,0.022605064217935178,**,26541,1210,406,0.00042843997272751065,1
risk_verifiability_index,failure_cost_pre,plus_exposure_group_year_fe,ok,0.11149591649586128,0.0511607051002793,2.1793272058569144,0.030222793108201973,**,26541,1210,406,0.00042843997272751065,1
risk_verifiability_index,high_lev_pre,main_fe,ok,0.06753182143775718,0.035268287331549415,1.9148029730762193,0.05663648783370001,*,26541,595,406,0.00042843997272751065,1
risk_verifiability_index,high_lev_pre,plus_exposure_group_year_fe,ok,0.0642031030738149,0.03664029243079637,1.7522541119200192,0.08093206810439324,*,26541,595,406,0.00042843997272751065,1
risk_verifiability_index,natural_highlev_pre,main_fe,ok,0.08521424123062236,0.04287225557774352,1.9876313966289203,0.047922041411285754,**,26541,400,406,0.00042843997272751065,1
risk_verifiability_index,natural_highlev_pre,plus_exposure_group_year_fe,ok,0.049095416362755724,0.04671858580605532,1.050875481688753,0.294310645432583,,26541,400,406,0.00042843997272751065,1
risk_verifiability_index,ar_np_guarantee_pre,main_fe,ok,-0.032293867531059145,0.04048395605966894,-0.7976954496112363,0.4257894295920299,,26541,444,406,0.00042843997272751065,1
risk_verifiability_index,ar_np_guarantee_pre,plus_exposure_group_year_fe,ok,-0.0509371194557385,0.041456994342549264,-1.2286737199242477,0.22032686565101267,,26541,444,406,0.00042843997272751065,1
risk_verifiability_index,ar_controller_pledge_pre,main_fe,ok,0.05484623865622617,0.059859934469949506,0.91624287834394,0.3604051961165131,,26541,380,406,0.00042843997272751065,1
risk_verifiability_index,ar_controller_pledge_pre,plus_exposure_group_year_fe,ok,0.0534521657588397,0.060961583454286684,0.8768172138921215,0.38141120260609895,,26541,380,406,0.00042843997272751065,1
