Spec,coef,se,t,p,ci_lo,ci_hi,N
OLS-15X,-0.003449080611971146,0.0010331850839955972,-3.338298883132002,,,,40135
OLS-28X,-0.0025972260291592226,0.0009908661303252016,-2.621167430868603,,,,40135
DML-15X,-0.002518382874348033,0.0002925885285960556,-8.607250894052939,7.483354030264313e-18,-0.00309184585268587,-0.0019449198960101964,45506
DML-28X,-0.003318206435416586,0.0003318433872305087,-9.999314625822743,1.5345541895602872e-23,-0.003968607522896162,-0.0026678053479370096,40135
DML-28X-ln,-0.004598905667620873,0.0005337713894642909,-8.615871435590568,6.941161099783367e-18,-0.005645078366948785,-0.0035527329682929604,40135
DML-28X-SYNCH,0.0321826037650692,0.002061213954019558,15.613422227377292,5.8986302140221724e-55,0.028142698650759468,0.03622250887937893,40087
